concept id	representation id	en
FMA4761	BP10267	left brachiocephalic vein
FMA4762	BP10367	left internal jugular vein
FMA4763	BP10345	left subclavian vein
FMA4771	BP10337	right superior epigastric vein
FMA4772	BP5963	right musculophrenic vein
FMA4785	BP10364	left superior epigastric vein
FMA4786	BP5964	left musculophrenic vein
FMA4797	BP5965	left superior intercostal vein
FMA4838	BP10369	azygos vein
FMA4843	BP10593	right ascending lumbar vein
FMA4844	BP5976	right subcostal vein
FMA4877	BP5901	right superior intercostal vein
FMA4944	BP10360	hemiazygos vein
FMA4950	BP10625	left ascending lumbar vein
FMA4951	BP5977	left subcostal vein
FMA5011	BP5903	accessory hemiazygos vein
FMA5018	BP7753	bone organ
FMA5022	BP7788	muscle organ
FMA5039	BP6420	right costocervical trunk
FMA5041	BP6135	right second posterior intercostal artery
FMA5042	BP6329	right superior intercostal artery
FMA5865	BP4693	cranial nerve
FMA5884	BP5698	ganglion
FMA5889	BP5699	autonomic ganglion
FMA5894	BP5700	parasympathetic ganglion
FMA5895	BP5701	cranial parasympathetic ganglion
FMA5897	BP8682	anatomical space
FMA5898	BP8825	anatomical junction
FMA5913	BP5705	nerve trunk
FMA6964	BP5702	ciliary ganglion
FMA7037	BP6622	branch of ciliary ganglion
FMA7041	BP6623	short ciliary nerve
FMA7131	BP9222	esophagus
FMA7145	BP8266	membrane organ
FMA7146	BP8532	organ component gland
FMA7148	BP7926	stomach
FMA7163	BP9115	skin
FMA7196	BP8804	spleen
FMA7198	BP4631	pancreas
FMA7202	BP9029	gallbladder
FMA7203	BP8908	kidney
FMA7204	BP8907	right kidney
FMA7205	BP9289	left kidney
FMA7206	BP8646	duodenum
FMA7210	BP8579	testis
FMA7211	BP9204	right testis
FMA7212	BP8578	left testis
FMA7232	BP7907	cusp of cardiac valve
FMA7237	BP8545	leaflet of tricuspid valve
FMA7238	BP8711	anterior leaflet of tricuspid valve
FMA7239	BP8544	posterior leaflet of tricuspid valve
FMA7240	BP8648	septal leaflet of tricuspid valve
FMA7241	BP8615	leaflet of mitral valve
FMA7242	BP8614	anterior leaflet of mitral valve
FMA7243	BP8834	posterior leaflet of mitral valve
FMA7247	BP9071	left anterior cusp of pulmonary valve
FMA7248	BP8602	cusp of pulmonary valve
FMA7249	BP9033	right anterior cusp of pulmonary valve
FMA7250	BP8601	posterior cusp of pulmonary valve
FMA7251	BP7906	cusp of aortic valve
FMA7252	BP7905	right posterior cusp of aortic valve
FMA7253	BP8415	anterior cusp of aortic valve
FMA7254	BP8827	left posterior cusp of aortic valve
FMA7260	BP9283	anterior papillary muscle of right ventricle
FMA7261	BP8146	posterior papillary muscle of right ventricle
FMA7262	BP8088	septal papillary muscle of right ventricle
FMA7264	BP8949	lateral papillary muscle of left ventricle
FMA7265	BP8573	anterolateral head of lateral papillary muscle of left ventricle
FMA7394	BP7849	trachea
FMA7396	BP8386	left main bronchus
FMA7405	BP8387	main bronchus
FMA7409	BP8388	bronchus
FMA7474	BP7752	long bone
FMA7475	BP7884	short bone
FMA7476	BP8210	flat bone
FMA7477	BP7848	irregular bone
FMA7478	BP7993	pneumatized bone
FMA7486	BP8562	manubrium
FMA7487	BP8989	body of sternum
FMA7488	BP7865	xiphoid process
FMA7538	BP7871	cartilage organ component
FMA7574	BP8085	rib
FMA7591	BP7870	costal cartilage
FMA7592	BP8084	true rib
FMA7593	BP8083	typical rib
FMA7594	BP8409	false rib
FMA7595	BP8953	floating rib
FMA7596	BP8343	atypical rib
FMA7597	BP8342	first rib
FMA7603	BP8435	first costal cartilage
FMA7620	BP8997	second rib
FMA7638	BP8358	third rib
FMA7646	BP8060	retinaculum
FMA7703	BP8421	second costal cartilage
FMA7741	BP8753	third costal cartilage
FMA7749	BP8082	fourth rib
FMA7768	BP8537	fourth costal cartilage
FMA7776	BP8480	fifth rib
FMA7795	BP8788	fifth costal cartilage
FMA7822	BP7869	sixth costal cartilage
FMA7830	BP8212	seventh rib
FMA7849	BP8369	seventh costal cartilage
FMA7857	BP8341	right first rib
FMA7875	BP8434	right first costal cartilage
FMA7882	BP9279	right second rib
FMA7886	BP8906	right second costal cartilage
FMA7909	BP8969	right third rib
FMA7913	BP9006	right third costal cartilage
FMA7957	BP9092	right fourth rib
FMA7976	BP8536	right fourth costal cartilage
FMA7987	BP8800	left first rib
FMA8005	BP8731	left first costal cartilage
FMA8012	BP8996	left second rib
FMA8031	BP8420	left second costal cartilage
FMA8039	BP8357	left third rib
FMA8058	BP8752	left third costal cartilage
FMA8066	BP8792	right fifth rib
FMA8070	BP8822	right fifth costal cartilage
FMA8093	BP8479	left fifth rib
FMA8112	BP8787	left fifth costal cartilage
FMA8120	BP8709	eighth rib
FMA8147	BP8882	sixth rib
FMA8148	BP8081	left fourth rib
FMA8167	BP8773	left fourth costal cartilage
FMA8175	BP8881	right sixth rib
FMA8194	BP7868	right sixth costal cartilage
FMA8202	BP9041	left sixth rib
FMA8221	BP8340	left sixth costal cartilage
FMA8229	BP8211	right seventh rib
FMA8248	BP8368	right seventh costal cartilage
FMA8256	BP9230	left seventh rib
FMA8275	BP8527	left seventh costal cartilage
FMA8283	BP9073	right eighth rib
FMA8310	BP8708	left eighth rib
FMA8337	BP8439	ninth rib
FMA8364	BP9181	right ninth rib
FMA8391	BP8438	left ninth rib
FMA8418	BP8408	tenth rib
FMA8445	BP8407	right tenth rib
FMA8472	BP9155	left tenth rib
FMA8499	BP8952	eleventh rib
FMA8515	BP9062	twelfth rib
FMA8531	BP8951	right eleventh rib
FMA8532	BP9097	left eleventh rib
FMA8533	BP9236	right twelfth rib
FMA8534	BP9061	left twelfth rib
FMA8612	BP8690	pulmonary trunk
FMA8615	BP8691	pulmonary arterial trunk
FMA8620	BP7661	right anterior segmental artery
FMA8634	BP8182	left apical segmental artery
FMA8635	BP8477	left posterior segmental artery
FMA8639	BP8372	superior lingular artery
FMA8640	BP9023	inferior lingular artery
FMA8642	BP7885	left superior segmental artery
FMA8644	BP8129	left medial basal segmental artery
FMA8645	BP8631	left anterior basal segmental artery
FMA8646	BP8105	left lateral basal segmental artery
FMA8647	BP7974	left posterior basal segmental artery
FMA8648	BP8139	trunk of pulmonary vein
FMA8662	BP8705	right anterior segmental vein
FMA8663	BP9003	right posterior segmental vein
FMA8667	BP8073	left anterior segmental vein
FMA8668	BP8045	superior lingular vein
FMA8669	BP7948	inferior lingular vein
FMA8670	BP7980	right superior segmental vein
FMA8673	BP7953	right anterior basal segmental vein
FMA8678	BP8735	left anterior basal segmental vein
FMA8681	BP8325	apical part of right apical segmental vein
FMA8683	BP8278	superior part of anterior segmental vein
FMA8693	BP9180	inferior part of anterior segmental vein
FMA8702	BP8621	upper lobar artery
FMA8707	BP8183	apical segmental artery
FMA8714	BP7886	superior segmental artery
FMA8716	BP8130	medial basal segmental artery
FMA8717	BP8632	anterior basal segmental artery
FMA8718	BP8106	lateral basal segmental artery
FMA8719	BP7975	posterior basal segmental artery
FMA8755	BP7887	segmental pulmonary artery
FMA9139	BP8044	thoracic vertebra
FMA9165	BP8981	first thoracic vertebra
FMA9187	BP8475	second thoracic vertebra
FMA9209	BP8726	third thoracic vertebra
FMA9248	BP9156	fourth thoracic vertebra
FMA9291	BP9227	cavity of right ventricle
FMA9311	BP7892	subsegmental pulmonary artery
FMA9337	BP6673	organ cavity subdivision
FMA9338	BP6670	anatomical conduit space
FMA9411	BP7879	segmental pulmonary vein
FMA9413	BP7841	subsegmental pulmonary vein
FMA9419	BP8149	subsegmental part of lateral segmental vein
FMA9421	BP7840	subsegmental part of medial segmental vein
FMA9422	BP8612	right medial basal segmental vein
FMA9425	BP7877	right lateral basal segmental vein
FMA9428	BP7968	right posterior basal segmental vein
FMA9437	BP8158	left apical segmental vein
FMA9438	BP8051	left posterior segmental vein
FMA9450	BP8389	left lateral basal segmental vein
FMA9451	BP8815	left posterior basal segmental vein
FMA9457	BP8712	wall of right atrium
FMA9464	BP8679	cavity of cardiac chamber
FMA9465	BP8719	cavity of left atrium
FMA9466	BP8928	cavity of left ventricle
FMA9531	BP9267	wall of left atrium
FMA9597	BP8383	salivary gland
FMA9600	BP8469	prostate
FMA9604	BP9015	adrenal gland
FMA9611	BP8921	femur
FMA9612	BP8002	metacarpal bone
FMA9613	BP9058	parietal bone
FMA9615	BP9117	cricoid cartilage
FMA9616	BP8080	muscle of head
FMA9617	BP7805	muscle of neck
FMA9619	BP8020	muscle of thorax
FMA9620	BP8157	muscle of abdomen
FMA9621	BP7787	muscle of upper limb
FMA9622	BP7834	muscle of lower limb
FMA9623	BP8936	perineal muscle
FMA9625	BP4900	stylohyoid
FMA9629	BP8377	supraspinatus
FMA9637	BP5484	portion of tissue
FMA9640	BP5485	portion of connective tissue
FMA9649	BP6615	decussation
FMA9657	BP8237	anatomical line
FMA9703	BP5758	nasolacrimal duct
FMA9704	BP8751	ureter
FMA9706	BP8717	bile duct
FMA9708	BP8034	talus
FMA9710	BP8776	vomer
FMA9711	BP8310	maxilla
FMA9721	BP9017	tendon
FMA9756	BP8306	external intercostal muscle
FMA9757	BP8018	internal intercostal muscle
FMA9758	BP9146	innermost intercostal muscle
FMA9760	BP9031	transversus thoracis
FMA9761	BP4963	right transversus thoracis
FMA9762	BP9030	left transversus thoracis
FMA9914	BP7847	vertebra
FMA9915	BP7846	cervical vertebra
FMA9921	BP8134	lumbar vertebra
FMA9922	BP8643	fifth thoracic vertebra
FMA9945	BP8303	sixth thoracic vertebra
FMA9968	BP8840	seventh thoracic vertebra
FMA9991	BP9221	eighth thoracic vertebra
FMA10014	BP8178	ninth thoracic vertebra
FMA10037	BP8412	tenth thoracic vertebra
FMA10059	BP8043	eleventh thoracic vertebra
FMA10081	BP9250	twelfth thoracic vertebra
FMA10419	BP5645	pancreatic duct
FMA10446	BP7812	intervertebral disk
FMA10455	BP7811	intervertebral disk of thoracic vertebra
FMA10458	BP9158	intervertebral disk of first thoracic vertebra
FMA10474	BP7794	zone of muscle organ
FMA10483	BP8564	zone of bone organ
FMA10552	BP6212	left dorsal scapular artery
FMA10636	BP6419	costocervical trunk
FMA10645	BP6220	musculophrenic artery
FMA10646	BP6217	superior epigastric artery
FMA10659	BP6331	deep cervical artery
FMA10660	BP6332	right deep cervical artery
FMA10662	BP6213	inferior thyroid artery
FMA10663	BP6200	suprascapular artery
FMA10664	BP6203	transverse cervical artery
FMA10665	BP6207	superficial cervical artery
FMA10680	BP6215	left inferior thyroid artery
FMA10681	BP6202	left suprascapular artery
FMA10682	BP6205	left transverse cervical artery
FMA10683	BP6209	left superficial cervical artery
FMA10692	BP6221	right musculophrenic artery
FMA10697	BP6214	right inferior thyroid artery
FMA10698	BP6201	right suprascapular artery
FMA10699	BP6204	right transverse cervical artery
FMA10700	BP6208	right superficial cervical artery
FMA10704	BP10559	variant bronchial artery
FMA10951	BP10311	inferior vena cava
FMA11195	BP5697	segment of neural tree organ
FMA11336	BP6616	linea alba
FMA11337	BP8824	zone of continuity
FMA11338	BP8823	ileocecal junction
FMA11359	BP8677	cavity of right atrium
FMA12215	BP8563	zone of sternum
FMA12224	BP7850	segment of tracheobronchial tree
FMA12516	BP5433	tooth
FMA12519	BP8831	atlas
FMA12520	BP8459	axis
FMA12521	BP9108	third cervical vertebra
FMA12522	BP8003	fourth cervical vertebra
FMA12523	BP8835	fifth cervical vertebra
FMA12524	BP7845	sixth cervical vertebra
FMA12525	BP7979	seventh cervical vertebra
FMA12823	BP5434	incisor tooth
FMA12845	BP5975	subcostal vein
FMA12846	BP7984	cardiac vein
FMA12858	BP10585	ascending lumbar vein
FMA13072	BP8948	first lumbar vertebra
FMA13073	BP8995	second lumbar vertebra
FMA13074	BP8227	third lumbar vertebra
FMA13075	BP8133	fourth lumbar vertebra
FMA13076	BP8280	fifth lumbar vertebra
FMA13087	BP10249	segment of aorta
FMA13109	BP9039	pectoralis minor
FMA13237	BP8678	cavity of atrium
FMA13238	BP8929	cavity of ventricle
FMA13256	BP7816	wall of cardiac chamber
FMA13278	BP8114	anterior segmental artery
FMA13279	BP8113	left anterior segmental artery
FMA13280	BP8478	posterior segmental artery
FMA13289	BP8613	medial basal segmental vein
FMA13290	BP7954	anterior basal segmental vein
FMA13291	BP7878	lateral basal segmental vein
FMA13292	BP7969	posterior basal segmental vein
FMA13295	BP8798	diaphragm
FMA13303	BP9192	humerus
FMA13321	BP8842	clavicle
FMA13322	BP9271	right clavicle
FMA13323	BP8841	left clavicle
FMA13324	BP5942	cephalic vein
FMA13325	BP5943	right cephalic vein
FMA13326	BP5944	left cephalic vein
FMA13329	BP5955	axillary vein
FMA13330	BP5956	right axillary vein
FMA13331	BP5957	left axillary vein
FMA13335	BP8155	external oblique
FMA13336	BP4967	right external oblique
FMA13337	BP8154	left external oblique
FMA13338	BP4913	infrahyoid muscle
FMA13341	BP4916	sternohyoid
FMA13342	BP4914	omohyoid
FMA13343	BP4922	sternothyroid
FMA13344	BP4919	thyrohyoid
FMA13346	BP4917	right sternohyoid
FMA13347	BP4918	left sternohyoid
FMA13348	BP4915	right omohyoid
FMA13349	BP7585	left omohyoid
FMA13350	BP4923	right sternothyroid
FMA13351	BP4924	left sternothyroid
FMA13352	BP4920	right thyrohyoid
FMA13353	BP4921	left thyrohyoid
FMA13354	BP8019	intercostal muscle
FMA13365	BP8727	caudate lobe of liver
FMA13375	BP4775	right pectoralis minor
FMA13376	BP9038	left pectoralis minor
FMA13379	BP9246	rhomboid major
FMA13380	BP8586	rhomboid minor
FMA13381	BP4780	right rhomboid major
FMA13382	BP9245	left rhomboid major
FMA13383	BP4784	right rhomboid minor
FMA13384	BP8585	left rhomboid minor
FMA13385	BP4879	scalenus anterior
FMA13386	BP4877	scalenus medius
FMA13387	BP4874	scalenus posterior
FMA13388	BP4875	right scalenus posterior
FMA13389	BP4876	left scalenus posterior
FMA13390	BP4878	right scalenus medius
FMA13391	BP7591	left scalenus medius
FMA13392	BP4880	right scalenus anterior
FMA13393	BP7590	left scalenus anterior
FMA13394	BP9102	scapula
FMA13395	BP9101	right scapula
FMA13396	BP9121	left scapula
FMA13397	BP8761	serratus anterior
FMA13398	BP4782	right serratus anterior
FMA13399	BP8760	left serratus anterior
FMA13400	BP8300	serratus posterior
FMA13401	BP8299	serratus posterior superior
FMA13402	BP9049	serratus posterior inferior
FMA13403	BP4766	right serratus posterior superior
FMA13404	BP8298	left serratus posterior superior
FMA13405	BP4768	right serratus posterior inferior
FMA13406	BP9048	left serratus posterior inferior
FMA13407	BP4908	sternocleidomastoid
FMA13408	BP4909	right sternocleidomastoid
FMA13409	BP4910	left sternocleidomastoid
FMA13410	BP8461	subclavius
FMA13411	BP8460	left subclavius
FMA13412	BP4773	right subclavius
FMA13413	BP8215	subscapularis
FMA13414	BP4795	right subscapularis
FMA13415	BP8214	left subscapularis
FMA13442	BP8074	anterior segmental vein
FMA13443	BP8052	posterior segmental vein
FMA13444	BP8159	apical segmental vein
FMA13445	BP7981	superior segmental vein
FMA13495	BP8514	intervertebral disk of second thoracic vertebra
FMA13500	BP9007	intervertebral disk of third thoracic vertebra
FMA13501	BP9269	intervertebral disk of fourth thoracic vertebra
FMA13502	BP8610	intervertebral disk of fifth thoracic vertebra
FMA13503	BP8652	intervertebral disk of sixth thoracic vertebra
FMA13504	BP8433	intervertebral disk of seventh thoracic vertebra
FMA13505	BP8829	intervertebral disk of eighth thoracic vertebra
FMA13506	BP8704	intervertebral disk of ninth thoracic vertebra
FMA13507	BP9069	intervertebral disk of tenth thoracic vertebra
FMA13508	BP7810	intervertebral disk of eleventh thoracic vertebra
FMA13883	BP8713	wall of atrium
FMA13884	BP7815	wall of ventricle
FMA13889	BP4630	pituitary gland
FMA13894	BP8047	intervertebral disk of lumbar vertebra
FMA13895	BP7935	intervertebral disk of cervical vertebra
FMA13896	BP9201	intervertebral disk of third cervical vertebra
FMA13897	BP8718	intervertebral disk of fourth cervical vertebra
FMA13898	BP7934	intervertebral disk of fifth cervical vertebra
FMA13899	BP9190	intervertebral disk of sixth cervical vertebra
FMA13900	BP8243	intervertebral disk of seventh cervical vertebra
FMA13912	BP7763	ventricular branch of right coronary artery
FMA13914	BP8651	anterior branch of anterior interventricular branch of left coronary artery
FMA13921	BP8005	branch of anterior interventricular branch of left coronary artery
FMA14065	BP7872	organ component
FMA14092	BP7821	zone of small intestine
FMA14177	BP10558	bronchial branch of arch of aorta
FMA14284	BP8337	venous tree organ
FMA14293	BP10339	tributary of internal thoracic vein
FMA14294	BP10361	tributary of azygos vein
FMA14309	BP8327	subsegmental part of apical segmental vein
FMA14310	BP8279	subsegmental part of anterior segmental vein
FMA14317	BP5907	tributary of external jugular vein
FMA14319	BP5908	suprascapular vein
FMA14329	BP8924	trunk of portal vein
FMA14331	BP10265	splenic vein
FMA14332	BP10291	superior mesenteric vein
FMA14333	BP10314	common iliac vein
FMA14334	BP10257	renal vein
FMA14335	BP10256	right renal vein
FMA14336	BP10330	left renal vein
FMA14337	BP5817	hepatic vein
FMA14338	BP5818	right hepatic vein
FMA14339	BP5820	left hepatic vein
FMA14340	BP5819	middle hepatic vein
FMA14341	BP10605	right testicular vein
FMA14343	BP10623	right suprarenal vein
FMA14344	BP10563	testicular vein
FMA14345	BP10562	left testicular vein
FMA14348	BP10624	suprarenal vein
FMA14349	BP10629	left suprarenal vein
FMA14495	BP8728	segment of liver
FMA14539	BP9078	cystic duct
FMA14540	BP8405	segment of large intestine
FMA14542	BP8994	appendix
FMA14544	BP9212	rectum
FMA14545	BP9195	ascending colon
FMA14546	BP8403	transverse colon
FMA14547	BP8743	descending colon
FMA14643	BP9149	mesentery of small intestine
FMA14645	BP9009	mesentery of large intestine
FMA14647	BP9186	transverse mesocolon
FMA14668	BP9079	common hepatic duct
FMA14669	BP9268	right hepatic duct
FMA14670	BP8715	left hepatic duct
FMA14678	BP8716	extrahepatic bile duct
FMA14734	BP10247	inferior phrenic artery
FMA14735	BP10584	lumbar artery
FMA14746	BP10280	right inferior phrenic artery
FMA14747	BP10246	left inferior phrenic artery
FMA14749	BP6193	superior mesenteric artery
FMA14750	BP10321	inferior mesenteric artery
FMA14751	BP7656	renal artery
FMA14752	BP7655	right renal artery
FMA14753	BP7672	left renal artery
FMA14754	BP10609	middle suprarenal artery
FMA14755	BP10613	right middle suprarenal artery
FMA14756	BP10608	left middle suprarenal artery
FMA14758	BP10619	testicular artery
FMA14759	BP10618	right testicular artery
FMA14760	BP10620	left testicular artery
FMA14764	BP10298	common iliac artery
FMA14765	BP10297	right common iliac artery
FMA14766	BP10347	left common iliac artery
FMA14767	BP8674	trunk of branch of coeliac artery
FMA14768	BP10363	left gastric artery
FMA14769	BP7854	hepatic artery
FMA14771	BP8522	common hepatic artery
FMA14772	BP8485	hepatic artery proper
FMA14773	BP8474	splenic artery
FMA14776	BP10564	right gastric artery
FMA14781	BP10590	right gastro-epiploic artery
FMA14782	BP10602	anterior superior pancreaticoduodenal artery
FMA14784	BP10574	posterior superior pancreaticoduodenal artery
FMA14787	BP10604	dorsal pancreatic artery
FMA14790	BP10581	inferior pancreatic artery
FMA14792	BP10610	great pancreatic artery
FMA14793	BP10611	caudal pancreatic artery
FMA14796	BP10607	left gastro-epiploic artery
FMA14805	BP10615	inferior pancreaticoduodenal artery
FMA14809	BP10603	ileal artery
FMA14810	BP10324	middle colic artery
FMA14811	BP10353	right colic artery
FMA14812	BP10622	celiac trunk
FMA14815	BP10325	ileocolic artery
FMA14816	BP10293	anterior cecal artery
FMA14817	BP10284	posterior cecal artery
FMA14818	BP10350	appendicular artery
FMA14819	BP7651	ileal branch of inferior branch of ileocolic artery
FMA14820	BP10306	ascending branch of inferior branch of ileocolic artery
FMA14821	BP10286	branch of ileocolic artery
FMA14824	BP6191	marginal colic artery
FMA14825	BP10333	trunk of branch of inferior mesenteric artery
FMA14826	BP10296	left colic artery
FMA14828	BP10366	ascending branch of left colic artery
FMA14829	BP10331	descending branch of left colic artery
FMA14830	BP10312	sigmoid artery
FMA14831	BP10606	marginal artery of colon
FMA14832	BP10244	superior rectal artery
FMA14837	BP7855	subdivision of hepatic artery proper
FMA14963	BP7820	zone of ileum
FMA14964	BP8147	proximal part of ileum
FMA14965	BP7819	middle part of ileum
FMA14966	BP8262	distal part of ileum
FMA15041	BP8554	taenia coli
FMA15042	BP8553	taenia mesocolica
FMA15043	BP9094	taenia omentalis
FMA15044	BP8892	taenia libera
FMA15370	BP10565	lumbar vein
FMA15387	BP10579	tributary of splenic vein
FMA15390	BP10617	left gastroepiploic vein
FMA15391	BP10621	inferior mesenteric vein
FMA15392	BP10578	tributary of inferior mesenteric vein
FMA15393	BP10577	superior rectal vein
FMA15394	BP10588	left colic vein
FMA15395	BP10626	sigmoid vein
FMA15396	BP10567	tributary of superior mesenteric vein
FMA15397	BP10573	right gastroepiploic vein
FMA15398	BP10566	pancreaticoduodenal vein
FMA15399	BP10631	left gastric vein
FMA15400	BP10586	right gastric vein
FMA15405	BP10589	ileal vein
FMA15406	BP10591	middle colic vein
FMA15407	BP10572	right colic vein
FMA15408	BP10601	ileocolic vein
FMA15414	BP5787	right portal vein
FMA15415	BP5788	left portal vein
FMA15420	BP7908	anterior superior segmental branch of right portal vein
FMA15421	BP8473	anterior inferior segmental branch of right portal vein
FMA15423	BP8515	posterior superior segmental branch of right portal vein
FMA15424	BP8786	posterior inferior segmental branch of right portal vein
FMA15425	BP8904	caudate lobe branch of left portal vein
FMA15428	BP8270	medial superior segmental branch of left portal vein
FMA15429	BP9093	medial inferior segmental branch of left portal vein
FMA15431	BP8843	lateral superior segmental branch of left portal vein
FMA15432	BP8988	lateral inferior segmental branch of left portal vein
FMA15571	BP8912	right ureter
FMA15572	BP8750	left ureter
FMA15629	BP9132	right adrenal gland
FMA15630	BP9014	left adrenal gland
FMA15737	BP8868	hepatovenous subsector
FMA15739	BP8890	hepatovenous segment ii
FMA15741	BP8982	hepatovenous segment iii
FMA15742	BP8871	hepatovenous segment iv
FMA15743	BP8976	hepatovenous segment v
FMA15744	BP9210	hepatovenous segment vi
FMA15745	BP6444	hepatovenous segment vii
FMA15746	BP8866	hepatovenous segment viii
FMA15747	BP6452	hepatovenous segment ix
FMA15755	BP8867	region of anterior sector of right liver (in-vivo)
FMA15756	BP9211	region of posterior sector of right liver (in-vivo)
FMA15757	BP8872	region of anterior sector of left liver (in-vivo)
FMA15791	BP8429	tributary of right hepatic vein
FMA15793	BP8276	tributary of middle hepatic vein
FMA15794	BP8185	tributary of left hepatic vein
FMA15796	BP9037	posterior superior segmental tributary of right hepatic vein
FMA15797	BP8428	posterior inferior segmental tributary of right hepatic vein
FMA15798	BP8549	anterior superior segmental tributary of right hepatic vein
FMA15800	BP8633	anterior inferior segmental tributary of middle hepatic vein
FMA15801	BP8275	medial inferior segmental tributary of middle hepatic vein
FMA15802	BP8742	medial superior segmental tributary of left hepatic vein
FMA15803	BP9074	lateral superior segmental tributary of left hepatic vein
FMA15804	BP8184	lateral inferior segmental tributary of left hepatic vein
FMA15900	BP8497	urinary bladder
FMA16033	BP8891	intervertebral disk of first lumbar vertebra
FMA16034	BP8683	intervertebral disk of second lumbar vertebra
FMA16035	BP8046	intervertebral disk of third lumbar vertebra
FMA16036	BP8261	intervertebral disk of fourth lumbar vertebra
FMA16037	BP8781	intervertebral disk of fifth lumbar vertebra
FMA16202	BP9174	sacrum
FMA16549	BP9008	mesoappendix
FMA16585	BP8769	hip bone
FMA16586	BP8768	right hip bone
FMA16587	BP8950	left hip bone
FMA16980	BP7929	zone of jejunum
FMA16981	BP8075	proximal part of jejunum
FMA16982	BP7928	middle part of jejunum
FMA16983	BP8240	distal part of jejunum
FMA17541	BP8186	tributary of hepatic vein
FMA18060	BP8374	psoas major
FMA18247	BP8793	glans penis
FMA18255	BP8142	epididymis
FMA18256	BP8141	right epididymis
FMA18257	BP8772	left epididymis
FMA18805	BP10600	external iliac artery
FMA18806	BP10614	right external iliac artery
FMA18807	BP10599	left external iliac artery
FMA18808	BP10317	internal iliac artery
FMA18809	BP10316	right internal iliac artery
FMA18810	BP10328	left internal iliac artery
FMA18883	BP10295	external iliac vein
FMA18884	BP10310	internal iliac vein
FMA18885	BP10294	right external iliac vein
