concept id	representation id	en
FMA7158	BP9361	respiratory system
FMA7159	BP9805	urinary system
FMA7160	BP9785	genital system
FMA7161	BP9301	cardiovascular system
FMA7163	BP10155	skin
FMA7165	BP9304	right side of heart
FMA7166	BP9449	left side of heart
FMA7181	BP9313	trunk
FMA7184	BP9954	lower limb
FMA7185	BP9411	right upper limb
FMA7186	BP9390	left upper limb
FMA7187	BP9467	right lower limb
FMA7188	BP9296	left lower limb
FMA7197	BP9334	liver
FMA7198	BP9653	pancreas
FMA7200	BP9352	small intestine
FMA7201	BP9747	large intestine
FMA7202	BP10105	gallbladder
FMA7204	BP10046	right kidney
FMA7205	BP10234	left kidney
FMA7206	BP9885	duodenum
FMA7207	BP9483	jejunum
FMA7208	BP9351	ileum
FMA7216	BP9869	outflow part of right ventricle
FMA7234	BP9830	tricuspid valve
FMA7235	BP9455	mitral valve
FMA7236	BP9447	aortic valve
FMA7238	BP9920	anterior leaflet of tricuspid valve
FMA7239	BP9829	posterior leaflet of tricuspid valve
FMA7240	BP9887	septal leaflet of tricuspid valve
FMA7242	BP9874	anterior leaflet of mitral valve
FMA7243	BP9998	posterior leaflet of mitral valve
FMA7246	BP9868	pulmonary valve
FMA7247	BP10131	left anterior cusp of pulmonary valve
FMA7249	BP10108	right anterior cusp of pulmonary valve
FMA7250	BP9867	posterior cusp of pulmonary valve
FMA7252	BP9446	right posterior cusp of aortic valve
FMA7253	BP9760	anterior cusp of aortic valve
FMA7254	BP9993	left posterior cusp of aortic valve
FMA7259	BP9595	papillary muscle of right ventricle
FMA7260	BP10231	anterior papillary muscle of right ventricle
FMA7261	BP9637	posterior papillary muscle of right ventricle
FMA7262	BP9594	septal papillary muscle of right ventricle
FMA7264	BP9853	lateral papillary muscle of left ventricle
FMA7265	BP9842	anterolateral head of lateral papillary muscle of left ventricle
FMA7309	BP9359	right lung
FMA7310	BP9417	left lung
FMA7333	BP9424	upper lobe of right lung
FMA7337	BP9403	lower lobe of right lung
FMA7338	BP9593	right apical bronchopulmonary segment
FMA7339	BP9423	right posterior bronchopulmonary segment
FMA7359	BP9527	right anterior bronchopulmonary segment
FMA7360	BP9367	medial bronchopulmonary segment
FMA7361	BP9445	lateral bronchopulmonary segment
FMA7362	BP9469	right posterior basal bronchopulmonary segment
FMA7363	BP9402	right lateral basal bronchopulmonary segment
FMA7364	BP9502	right anterior basal bronchopulmonary segment
FMA7365	BP9490	right medial basal bronchopulmonary segment
FMA7366	BP9524	right superior bronchopulmonary segment
FMA7370	BP9476	upper lobe of left lung
FMA7371	BP9419	lower lobe of left lung
FMA7372	BP9577	apicoposterior bronchopulmonary segment
FMA7373	BP9475	left anterior bronchopulmonary segment
FMA7374	BP9566	superior lingular bronchopulmonary segment
FMA7375	BP9500	inferior lingular bronchopulmonary segment
FMA7376	BP9420	left superior bronchopulmonary segment
FMA7377	BP9630	left medial basal bronchopulmonary segment
FMA7378	BP9553	left anterior basal bronchopulmonary segment
FMA7379	BP9616	left lateral basal bronchopulmonary segment
FMA7380	BP9513	left posterior basal bronchopulmonary segment
FMA7383	BP9358	middle lobe of lung
FMA7385	BP9648	left apical bronchopulmonary segment
FMA7386	BP9575	left posterior bronchopulmonary segment
FMA7393	BP9374	tracheobronchial tree
FMA7394	BP9373	trachea
FMA7395	BP9932	right main bronchus
FMA7396	BP9732	left main bronchus
FMA7480	BP9393	rib cage
FMA7481	BP9347	skeletal system of thorax
FMA7482	BP9344	musculoskeletal system
FMA7483	BP9341	axial skeletal system
FMA7485	BP9392	sternum
FMA7486	BP9840	manubrium
FMA7487	BP10083	body of sternum
FMA7488	BP9391	xiphoid process
FMA7563	BP9315	body compartment
FMA7647	BP6706	spinal cord
FMA7857	BP9714	right first rib
FMA7875	BP9771	right first costal cartilage
FMA7882	BP10229	right second rib
FMA7886	BP10045	right second costal cartilage
FMA7909	BP10077	right third rib
FMA7913	BP10093	right third costal cartilage
FMA7957	BP10139	right fourth rib
FMA7976	BP9827	right fourth costal cartilage
FMA7987	BP9978	left first rib
FMA8005	BP9930	left first costal cartilage
FMA8012	BP10089	left second rib
FMA8031	BP9764	left second costal cartilage
FMA8039	BP9720	left third rib
FMA8058	BP9942	left third costal cartilage
FMA8066	BP9975	right fifth rib
FMA8070	BP9987	right fifth costal cartilage
FMA8093	BP9794	left fifth rib
FMA8112	BP9973	left fifth costal cartilage
FMA8148	BP9589	left fourth rib
FMA8167	BP9958	left fourth costal cartilage
FMA8175	BP10033	right sixth rib
FMA8194	BP9396	right sixth costal cartilage
FMA8202	BP10114	left sixth rib
FMA8221	BP9713	left sixth costal cartilage
FMA8229	BP9669	right seventh rib
FMA8248	BP9725	right seventh costal cartilage
FMA8256	BP10209	left seventh rib
FMA8275	BP9823	left seventh costal cartilage
FMA8283	BP10133	right eighth rib
FMA8310	BP9918	left eighth rib
FMA8364	BP10184	right ninth rib
FMA8391	BP9773	left ninth rib
FMA8445	BP9749	right tenth rib
FMA8472	BP10173	left tenth rib
FMA8531	BP10071	right eleventh rib
FMA8532	BP10142	left eleventh rib
FMA8533	BP10213	right twelfth rib
FMA8534	BP10125	left twelfth rib
FMA8612	BP9912	pulmonary trunk
FMA8617	BP9667	right apical segmental artery
FMA8619	BP9422	right posterior segmental artery
FMA8620	BP9744	right anterior segmental artery
FMA8627	BP9585	right superior segmental artery
FMA8630	BP9768	right anterior basal segmental artery
FMA8631	BP9608	right lateral basal segmental artery
FMA8632	BP9624	right posterior basal segmental artery
FMA8634	BP9657	left apical segmental artery
FMA8635	BP9793	left posterior segmental artery
FMA8639	BP9726	superior lingular artery
FMA8640	BP10101	inferior lingular artery
FMA8642	BP9412	left superior segmental artery
FMA8644	BP9628	left medial basal segmental artery
FMA8645	BP9878	left anterior basal segmental artery
FMA8646	BP9615	left lateral basal segmental artery
FMA8647	BP9511	left posterior basal segmental artery
FMA8655	BP9636	right upper lobar vein
FMA8656	BP9357	middle lobar vein
FMA8657	BP9578	left upper lobar vein
FMA8658	BP9497	lingular vein
FMA8661	BP9635	right apical segmental vein
FMA8662	BP9696	right anterior segmental vein
FMA8663	BP10090	right posterior segmental vein
FMA8664	BP9641	lateral segmental vein
FMA8665	BP9356	medial segmental vein
FMA8666	BP9576	apicoposterior segmental vein
FMA8667	BP9587	left anterior segmental vein
FMA8668	BP9565	superior lingular vein
FMA8669	BP9496	inferior lingular vein
FMA8670	BP9523	right superior segmental vein
FMA8671	BP9405	right common basal vein
FMA8672	BP9404	right superior basal vein
FMA8673	BP9501	right anterior basal segmental vein
FMA8674	BP9510	right inferior basal vein
FMA8676	BP9737	left common basal vein
FMA8677	BP9736	left superior basal vein
FMA8678	BP9935	left anterior basal segmental vein
FMA8679	BP9985	left inferior basal vein
FMA8681	BP9709	apical part of right apical segmental vein
FMA9140	BP9339	thoracic vertebral column
FMA9165	BP10080	first thoracic vertebra
FMA9187	BP9790	second thoracic vertebra
FMA9209	BP9927	third thoracic vertebra
FMA9248	BP10174	fourth thoracic vertebra
FMA9291	BP10208	cavity of right ventricle
FMA9348	BP9451	subaortic curtain of left ventricle
FMA9352	BP9854	papillary muscle of left ventricle
FMA9422	BP9873	right medial basal segmental vein
FMA9425	BP9401	right lateral basal segmental vein
FMA9428	BP9509	right posterior basal segmental vein
FMA9437	BP9647	left apical segmental vein
FMA9438	BP9574	left posterior segmental vein
FMA9450	BP9735	left lateral basal segmental vein
FMA9451	BP9984	left posterior basal segmental vein
FMA9457	BP9921	wall of right atrium
FMA9465	BP9925	cavity of left atrium
FMA9466	BP10057	cavity of left ventricle
FMA9473	BP9450	outflow part of left ventricle
FMA9496	BP9453	fibrous skeleton of heart
FMA9498	BP9452	fibrous ring of mitral valve
FMA9531	BP10221	wall of left atrium
FMA9533	BP9596	wall of right ventricle
FMA9535	BP9603	myocardium of right ventricle
FMA9550	BP9832	outflow part of right atrium
FMA9551	BP9456	outflow part of left atrium
FMA9552	BP9600	inflow part of right ventricle
FMA9553	BP10232	anterior wall of right ventricle
FMA9555	BP9638	inferior wall of right ventricle
FMA9556	BP9847	wall of left ventricle
FMA9558	BP9851	myocardium of left ventricle
FMA9560	BP9852	anterior wall of left ventricle
FMA9561	BP10001	inferior wall of left ventricle
FMA9563	BP9845	lateral wall of left ventricle
FMA9564	BP9457	inflow part of left ventricle
FMA9576	BP9311	thorax
FMA9577	BP9533	abdomen
FMA9578	BP9535	pelvis
FMA9579	BP10063	perineum
FMA9584	BP10098	peritoneum
FMA9600	BP9784	prostate
FMA9607	BP9902	thymus
FMA9668	BP9654	endocrine system
FMA9710	BP9960	vomer
FMA9713	BP9508	right hand
FMA9714	BP9439	left hand
FMA9761	BP7511	right transversus thoracis
FMA9762	BP10106	left transversus thoracis
FMA9826	BP9309	mediastinum
FMA9827	BP9436	superior mediastinum
FMA9828	BP9308	inferior mediastinum
FMA9838	BP9904	anterior mediastinum
FMA9839	BP9307	middle mediastinum
FMA9840	BP9734	posterior mediastinum
FMA9908	BP10099	peritoneal sac
FMA9922	BP9883	fifth thoracic vertebra
FMA9945	BP9703	sixth thoracic vertebra
FMA9968	BP10006	seventh thoracic vertebra
FMA9991	BP10205	eighth thoracic vertebra
FMA10014	BP9656	ninth thoracic vertebra
FMA10037	BP9751	tenth thoracic vertebra
FMA10059	BP9561	eleventh thoracic vertebra
FMA10081	BP10217	twelfth thoracic vertebra
FMA10419	BP6710	pancreatic duct
FMA10427	BP9349	body wall
FMA10428	BP9394	thoracic wall
FMA10429	BP9571	wall of abdomen proper
FMA10430	BP9531	pelvic wall
FMA10446	BP9765	intervertebral disk
FMA10458	BP10175	intervertebral disk of first thoracic vertebra
FMA10552	BP6858	left dorsal scapular artery
FMA10660	BP6821	right deep cervical artery
FMA10680	BP6861	left inferior thyroid artery
FMA10681	BP6860	left suprascapular artery
FMA10682	BP6856	left transverse cervical artery
FMA10683	BP6857	left superficial cervical artery
FMA10692	BP6789	right musculophrenic artery
FMA10697	BP6803	right inferior thyroid artery
FMA10698	BP6802	right suprascapular artery
FMA10699	BP6798	right transverse cervical artery
FMA10700	BP6799	right superficial cervical artery
FMA10951	BP10397	inferior vena cava
FMA11338	BP9988	ileocecal junction
FMA11343	BP9465	right foot
FMA11344	BP9294	left foot
FMA11345	BP9680	right forearm
FMA11346	BP9583	left forearm
FMA11359	BP9906	cavity of right atrium
FMA12514	BP7094	right eyeball
FMA12515	BP7110	left eyeball
FMA12519	BP9997	atlas
FMA12520	BP9781	axis
FMA12521	BP10151	third cervical vertebra
FMA12522	BP9546	fourth cervical vertebra
FMA12523	BP10002	fifth cervical vertebra
FMA12524	BP9368	sixth cervical vertebra
FMA12525	BP9522	seventh cervical vertebra
FMA13072	BP10066	first lumbar vertebra
FMA13073	BP10088	second lumbar vertebra
FMA13074	BP9675	third lumbar vertebra
FMA13075	BP9632	fourth lumbar vertebra
FMA13076	BP9697	fifth lumbar vertebra
FMA13279	BP9625	left anterior segmental artery
FMA13295	BP9976	diaphragm
FMA13322	BP10225	right clavicle
FMA13323	BP10007	left clavicle
FMA13325	BP6985	right cephalic vein
FMA13326	BP7279	left cephalic vein
FMA13336	BP7530	right external oblique
FMA13337	BP9643	left external oblique
FMA13362	BP9811	right lobe of liver
FMA13363	BP9333	left lobe of liver
FMA13365	BP9928	caudate lobe of liver
FMA13373	BP6969	right pectoralis major
FMA13374	BP9382	left pectoralis major
FMA13375	BP6968	right pectoralis minor
FMA13376	BP10112	left pectoralis minor
FMA13381	BP6961	right rhomboid major
FMA13382	BP10215	left rhomboid major
FMA13383	BP6960	right rhomboid minor
FMA13384	BP9861	left rhomboid minor
FMA13395	BP10144	right scapula
FMA13396	BP10159	left scapula
FMA13398	BP6959	right serratus anterior
FMA13399	BP9944	left serratus anterior
FMA13411	BP9782	left subclavius
FMA13412	BP6967	right subclavius
FMA13478	BP9340	vertebral column
FMA13495	BP9815	intervertebral disk of second thoracic vertebra
FMA13500	BP10094	intervertebral disk of third thoracic vertebra
FMA13501	BP10223	intervertebral disk of fourth thoracic vertebra
FMA13502	BP9870	intervertebral disk of fifth thoracic vertebra
FMA13503	BP9889	intervertebral disk of sixth thoracic vertebra
FMA13504	BP9769	intervertebral disk of seventh thoracic vertebra
FMA13505	BP9994	intervertebral disk of eighth thoracic vertebra
FMA13506	BP9916	intervertebral disk of ninth thoracic vertebra
FMA13507	BP10128	intervertebral disk of tenth thoracic vertebra
FMA13508	BP9337	intervertebral disk of eleventh thoracic vertebra
FMA13889	BP6711	pituitary gland
FMA13896	BP10193	intervertebral disk of third cervical vertebra
FMA13897	BP9923	intervertebral disk of fourth cervical vertebra
FMA13898	BP9491	intervertebral disk of fifth cervical vertebra
FMA13899	BP10187	intervertebral disk of sixth cervical vertebra
FMA13900	BP9682	intervertebral disk of seventh cervical vertebra
FMA14338	BP7448	right hepatic vein
FMA14339	BP7457	left hepatic vein
FMA14341	BP10642	right testicular vein
FMA14343	BP10651	right suprarenal vein
FMA14345	BP10634	left testicular vein
FMA14349	BP10653	left suprarenal vein
FMA14539	BP10134	cystic duct
FMA14541	BP9992	cecum
FMA14542	BP10087	appendix
FMA14544	BP10203	rectum
FMA14545	BP10190	ascending colon
FMA14546	BP9746	transverse colon
FMA14547	BP9937	descending colon
FMA14615	BP9991	wall of small intestine
FMA14618	BP9990	wall of ileum
FMA14619	BP9836	wall of large intestine
FMA14627	BP9646	anterior abdominal wall
FMA14628	BP9570	posterior abdominal wall
FMA14643	BP10169	mesentery of small intestine
FMA14647	BP10185	transverse mesocolon
FMA14665	BP9329	biliary tree
FMA14668	BP10135	common hepatic duct
FMA14669	BP10222	right hepatic duct
FMA14670	BP9922	left hepatic duct
FMA14703	BP10097	visceral peritoneum
FMA14746	BP10381	right inferior phrenic artery
FMA14747	BP10372	left inferior phrenic artery
FMA14749	BP10385	superior mesenteric artery
FMA14750	BP10371	inferior mesenteric artery
FMA14752	BP10417	right renal artery
FMA14753	BP10403	left renal artery
FMA14755	BP10645	right middle suprarenal artery
FMA14756	BP10644	left middle suprarenal artery
FMA14759	BP10648	right testicular artery
FMA14760	BP10649	left testicular artery
FMA14764	BP6918	common iliac artery
FMA14765	BP10391	right common iliac artery
FMA14766	BP10378	left common iliac artery
FMA14768	BP10419	left gastric artery
FMA14771	BP9379	common hepatic artery
FMA14772	BP9378	hepatic artery proper
FMA14773	BP9789	splenic artery
FMA14775	BP10638	gastroduodenal artery
FMA14776	BP10635	right gastric artery
FMA14778	BP9810	right hepatic artery
FMA14779	BP9377	left hepatic artery
FMA14805	BP10646	inferior pancreaticoduodenal artery
FMA14809	BP10641	ileal artery
FMA14810	BP10405	middle colic artery
FMA14811	BP10414	right colic artery
FMA14812	BP10650	celiac trunk
FMA14815	BP10384	ileocolic artery
FMA14816	BP10387	anterior cecal artery
FMA14817	BP10382	posterior cecal artery
FMA14818	BP10412	appendicular artery
FMA14819	BP7718	ileal branch of inferior branch of ileocolic artery
FMA14820	BP10392	ascending branch of inferior branch of ileocolic artery
FMA14823	BP10383	inferior branch of ileocolic artery
FMA14824	BP6831	marginal colic artery
FMA14826	BP10390	left colic artery
FMA14830	BP10398	sigmoid artery
FMA14831	BP10643	marginal artery of colon
FMA14832	BP10370	superior rectal artery
FMA14964	BP9639	proximal part of ileum
FMA14965	BP9350	middle part of ileum
FMA14966	BP9690	distal part of ileum
FMA14971	BP9835	muscle layer of large intestine
FMA15042	BP9834	taenia mesocolica
FMA15043	BP10141	taenia omentalis
FMA15044	BP10040	taenia libera
FMA15414	BP9460	right portal vein
FMA15415	BP9694	left portal vein
FMA15419	BP9459	anterior branch of right portal vein
FMA15420	BP9458	anterior superior segmental branch of right portal vein
FMA15421	BP9788	anterior inferior segmental branch of right portal vein
FMA15422	BP9818	posterior branch of right portal vein
FMA15423	BP9817	posterior superior segmental branch of right portal vein
FMA15424	BP9972	posterior inferior segmental branch of right portal vein
FMA15425	BP10044	caudate lobe branch of left portal vein
FMA15427	BP9693	medial branch of left portal vein
FMA15428	BP9692	medial superior segmental branch of left portal vein
FMA15429	BP10140	medial inferior segmental branch of left portal vein
FMA15430	BP10011	lateral branch of left portal vein
FMA15431	BP10010	lateral superior segmental branch of left portal vein
FMA15432	BP10082	lateral inferior segmental branch of left portal vein
FMA15571	BP10049	right ureter
FMA15572	BP9940	left ureter
FMA15629	BP10161	right adrenal gland
FMA15630	BP10100	left adrenal gland
FMA15739	BP10036	hepatovenous segment ii
FMA15741	BP10081	hepatovenous segment iii
FMA15742	BP10028	hepatovenous segment iv
FMA15743	BP10079	hepatovenous segment v
FMA15744	BP10201	hepatovenous segment vi
FMA15745	BP7470	hepatovenous segment vii
FMA15746	BP10023	hepatovenous segment viii
FMA15748	BP10024	anterior sector of right liver
FMA15749	BP10202	posterior sector of right liver
FMA15750	BP10029	anterior sector of left liver
FMA15751	BP10037	posterior sector of left liver
FMA15800	BP9879	anterior inferior segmental tributary of middle hepatic vein
FMA15809	BP10025	right hemiliver
FMA15810	BP10030	left hemiliver
FMA15900	BP9803	urinary bladder
FMA16033	BP10038	intervertebral disk of first lumbar vertebra
FMA16034	BP9907	intervertebral disk of second lumbar vertebra
FMA16035	BP9567	intervertebral disk of third lumbar vertebra
FMA16036	BP9688	intervertebral disk of fourth lumbar vertebra
FMA16037	BP9968	intervertebral disk of fifth lumbar vertebra
FMA16202	BP10178	sacrum
FMA16203	BP9569	lumbar vertebral column
FMA16549	BP10096	mesoappendix
FMA16580	BP9951	bony pelvis
FMA16581	BP9953	pelvic girdle
FMA16582	BP9956	right pelvic girdle
FMA16583	BP10069	left pelvic girdle
FMA16586	BP9949	right hip bone
FMA16587	BP10067	left hip bone
FMA16981	BP9588	proximal part of jejunum
FMA16982	BP9482	middle part of jejunum
FMA16983	BP9681	distal part of jejunum
FMA17181	BP9989	wall of distal part of ileum
FMA18805	BP6919	external iliac artery
FMA18806	BP10395	right external iliac artery
FMA18807	BP10377	left external iliac artery
FMA18809	BP10400	right internal iliac artery
FMA18810	BP10407	left internal iliac artery
FMA18885	BP10388	right external iliac vein
FMA18886	BP10401	left external iliac vein
FMA18887	BP10406	right internal iliac vein
FMA18888	BP10396	left internal iliac vein
FMA19667	BP10143	urethra
FMA20218	BP9719	mons pubis
FMA20224	BP9397	right side of rib cage
FMA20225	BP9591	left side of rib cage
FMA20226	BP9950	right side of bony pelvis
FMA20227	BP10070	left side of bony pelvis
FMA20347	BP10062	anal part of perineum
FMA20394	BP9297	human body
FMA20688	BP10411	right inferior epigastric artery
FMA20689	BP10420	left inferior epigastric artery
FMA20735	BP10393	right superficial epigastric artery
FMA20736	BP10375	left superficial epigastric artery
FMA20796	BP6906	right deep femoral artery
FMA20797	BP6843	left deep femoral artery
FMA20801	BP6907	right lateral circumflex femoral artery
FMA20802	BP6844	left lateral circumflex femoral artery
FMA21387	BP10399	right common iliac vein
FMA21388	BP10413	left common iliac vein
FMA21930	BP10061	external anal sphincter
FMA22324	BP7536	right obturator internus
FMA22325	BP9530	left obturator internus
FMA22340	BP7535	right piriformis
FMA22341	BP9631	left piriformis
FMA22342	BP7527	right psoas major
FMA22343	BP9727	left psoas major
FMA22507	BP6908	right descending genicular artery
FMA22508	BP6845	left descending genicular artery
FMA22672	BP6804	right thoraco-acromial artery
FMA22673	BP6872	left thoraco-acromial artery
FMA22675	BP6796	right lateral thoracic artery
FMA22676	BP6885	left lateral thoracic artery
FMA22678	BP6810	right subscapular artery
FMA22679	BP6878	left subscapular artery
FMA22682	BP6823	right anterior circumflex humeral artery
FMA22683	BP6891	left anterior circumflex humeral artery
FMA22685	BP6816	right posterior circumflex humeral artery
FMA22687	BP6884	left posterior circumflex humeral artery
FMA22691	BP6986	right brachial artery
FMA22692	BP7281	left brachial artery
FMA22696	BP6818	right deep brachial artery
FMA22697	BP6886	left deep brachial artery
FMA22707	BP6809	right superior ulnar collateral artery
FMA22708	BP6877	left superior ulnar collateral artery
FMA22712	BP6817	right inferior ulnar collateral artery
FMA22713	BP6854	left inferior ulnar collateral artery
FMA22733	BP6813	right radial artery
FMA22734	BP6881	left radial artery
FMA22764	BP6814	right radial recurrent artery
FMA22766	BP6882	left radial recurrent artery
FMA22772	BP6815	dorsal carpal branch of right radial artery
FMA22773	BP6883	dorsal carpal branch of left radial artery
FMA22797	BP6790	right ulnar artery
FMA22798	BP6862	left ulnar artery
FMA22801	BP6795	right anterior ulnar recurrent artery
FMA22802	BP6867	left anterior ulnar recurrent artery
FMA22804	BP6791	right posterior ulnar recurrent artery
FMA22805	BP6864	left posterior ulnar recurrent artery
FMA22807	BP6793	right common interosseous artery
FMA22808	BP6865	left common interosseous artery
FMA22812	BP6794	right anterior interosseous artery
FMA22813	BP6866	left anterior interosseous artery
FMA22821	BP6792	right dorsal carpal branch of ulnar artery
FMA22822	BP6863	left dorsal carpal branch of ulnar artery
FMA22909	BP6987	right basilic vein
FMA22910	BP7282	left basilic vein
FMA22935	BP6984	right medial brachial vein
FMA23063	BP6806	pectoral branch of right thoraco-acromial artery
FMA23064	BP6874	pectoral branch of left thoraco-acromial artery
FMA23068	BP6808	acromial branch of right thoraco-acromial artery
FMA23069	BP6876	acromial branch of left thoraco-acromial artery
FMA23072	BP6807	deltoid branch of right thoraco-acromial artery
FMA23073	BP6875	deltoid branch of left thoraco-acromial artery
FMA23130	BP10197	right humerus
FMA23131	BP10189	left humerus
FMA23180	BP6812	right circumflex scapular artery
FMA23181	BP6880	left circumflex scapular artery
FMA23218	BP10146	right pectoral girdle
FMA23219	BP9389	left pectoral girdle
FMA23464	BP9783	right radius
FMA23465	BP10123	left radius
FMA23467	BP9679	right ulna
FMA23468	BP10130	left ulna
FMA23725	BP9408	right trapezoid
FMA23876	BP9342	skeleton (in vivo)
FMA23881	BP9343	skeletal system
FMA23938	BP10126	middle phalanx of left index finger
FMA23940	BP9779	middle phalanx of left middle finger
FMA23942	BP9872	middle phalanx of left ring finger
FMA23944	BP9865	middle phalanx of left little finger
FMA23951	BP10158	distal phalanx of left thumb
FMA23953	BP9700	distal phalanx of left index finger
FMA23955	BP10012	distal phalanx of left middle finger
FMA23957	BP10127	distal phalanx of left ring finger
FMA23959	BP9977	distal phalanx of left little finger
FMA24138	BP9370	cervical vertebral column
FMA24163	BP10147	skeleton of right pectoral girdle
FMA24164	BP10008	skeleton of left pectoral girdle
FMA24189	BP9371	back of neck
FMA24217	BP9346	back of thorax
FMA24228	BP10179	posterior part of pelvis
FMA24435	BP9926	right scaphoid
FMA24436	BP9627	left scaphoid
FMA24437	BP10233	right lunate
FMA24438	BP9800	left lunate
FMA24439	BP9704	right triquetral
FMA24440	BP9859	left triquetral
FMA24441	BP9957	right pisiform
FMA24442	BP10072	left pisiform
FMA24443	BP9841	right trapezium
FMA24444	BP10102	left trapezium
FMA24445	BP10228	left trapezoid
FMA24446	BP9824	right capitate
FMA24447	BP9504	left capitate
FMA24448	BP10220	right hamate
FMA24449	BP10034	left hamate
FMA24450	BP9557	proximal phalanx of right thumb
FMA24451	BP10051	proximal phalanx of right index finger
FMA24452	BP10103	proximal phalanx of right middle finger
FMA24453	BP9711	proximal phalanx of right ring finger
FMA24454	BP9612	proximal phalanx of right little finger
FMA24455	BP9821	middle phalanx of right index finger
FMA24456	BP10170	middle phalanx of right middle finger
FMA24457	BP9777	middle phalanx of right ring finger
FMA24458	BP9799	middle phalanx of right little finger
FMA24459	BP9772	distal phalanx of right thumb
FMA24460	BP10064	distal phalanx of right index finger
FMA24461	BP9795	distal phalanx of right middle finger
FMA24462	BP9506	distal phalanx of right ring finger
FMA24463	BP9881	distal phalanx of right little finger
FMA24464	BP9833	right first metacarpal bone
FMA24465	BP10035	left first metacarpal bone
FMA24466	BP9671	right second metacarpal bone
FMA24467	BP10048	left second metacarpal bone
FMA24468	BP9877	right third metacarpal bone
FMA24469	BP10021	left third metacarpal bone
FMA24470	BP9775	right fourth metacarpal bone
FMA24471	BP10196	left fourth metacarpal bone
FMA24472	BP10056	right fifth metacarpal bone
FMA24473	BP9543	left fifth metacarpal bone
FMA24474	BP10053	right femur
FMA24475	BP10115	left femur
FMA24477	BP9559	right tibia
FMA24478	BP10195	left tibia
FMA24480	BP9550	right fibula
FMA24481	BP9685	left fibula
FMA24482	BP9560	right talus
FMA24483	BP10186	left talus
FMA24486	BP9739	right patella
FMA24487	BP9728	left patella
FMA24497	BP10113	right calcaneus
FMA24498	BP9825	left calcaneus
FMA24500	BP10162	navicular bone of right foot
FMA24501	BP9866	navicular bone of left foot
FMA24507	BP9677	right first metatarsal bone
FMA24508	BP9649	left first metatarsal bone
FMA24509	BP9876	right second metatarsal bone
FMA24510	BP10052	left second metatarsal bone
FMA24511	BP9980	right third metatarsal bone
FMA24512	BP10076	left third metatarsal bone
FMA24513	BP10160	right fourth metatarsal bone
FMA24514	BP9814	left fourth metatarsal bone
