parent id	parent name	child id	child name
FMA4062	left internal carotid artery	FMA50030	left anterior cerebral artery
FMA4062	left internal carotid artery	FMA50089	left anterior choroidal artery
FMA4062	left internal carotid artery	FMA50454	cerebral arterial circle
FMA4066	left vertebral artery	FMA50520	left posterior inferior cerebellar artery
FMA4068	left internal thoracic artery	FMA4077	left musculophrenic artery
FMA4068	left internal thoracic artery	FMA4083	left superior epigastric artery
FMA4694	left subclavian artery	FMA4066	left vertebral artery
FMA4694	left subclavian artery	FMA4068	left internal thoracic artery
FMA4694	left subclavian artery	FMA22673	left thoraco-acromial artery
FMA4694	left subclavian artery	FMA22676	left lateral thoracic artery
FMA4694	left subclavian artery	FMA22679	left subscapular artery
FMA4694	left subclavian artery	FMA22683	left anterior circumflex humeral artery
FMA4694	left subclavian artery	FMA22687	left posterior circumflex humeral artery
FMA4694	left subclavian artery	FMA22697	left deep brachial artery
FMA4694	left subclavian artery	FMA22708	left superior ulnar collateral artery
FMA4694	left subclavian artery	FMA22713	left inferior ulnar collateral artery
FMA4694	left subclavian artery	FMA22734	left radial artery
FMA4694	left subclavian artery	FMA22798	left ulnar artery
FMA4694	left subclavian artery	FMA70348	left thyrocervical artery
FMA4694	left subclavian artery	FMA70352	left costocervical artery
FMA4751	right brachiocephalic vein	FMA4754	right internal jugular vein
FMA4751	right brachiocephalic vein	FMA4755	right subclavian vein
FMA4751	right brachiocephalic vein	FMA4758	right internal thoracic vein
FMA7088	heart	FMA7166	left side of heart
FMA7088	heart	FMA9465	cavity of left atrium
FMA7088	heart	FMA9466	cavity of left ventricle
FMA7088	heart	FMA9496	fibrous skeleton of heart
FMA7096	right atrium	FMA7234	tricuspid valve
FMA7096	right atrium	FMA9550	outflow part of right atrium
FMA7096	right atrium	FMA11359	cavity of right atrium
FMA7097	left atrium	FMA9551	outflow part of left atrium
FMA7098	right ventricle	FMA7216	outflow part of right ventricle
FMA7098	right ventricle	FMA9552	inflow part of right ventricle
FMA7101	left ventricle	FMA9473	outflow part of left ventricle
FMA7101	left ventricle	FMA9564	inflow part of left ventricle
FMA7152	alimentary system	FMA49184	mouth
FMA7152	alimentary system	FMA71132	gastrointestinal tract
FMA7152	alimentary system	FMA265228	pancreaticobiliary system
FMA7154	head	FMA24728	face
FMA7154	head	FMA54545	head proper
FMA7155	neck	FMA12519	atlas
FMA7155	neck	FMA12520	axis
FMA7155	neck	FMA12521	third cervical vertebra
FMA7155	neck	FMA12522	fourth cervical vertebra
FMA7155	neck	FMA12523	fifth cervical vertebra
FMA7155	neck	FMA12524	sixth cervical vertebra
FMA7155	neck	FMA12525	seventh cervical vertebra
FMA7155	neck	FMA24189	back of neck
FMA7157	nervous system	FMA55675	neuraxis
FMA7158	respiratory system	FMA265130	respiratory tract
FMA7159	urinary system	FMA45659	lower urinary tract
FMA7159	urinary system	FMA71102	right upper urinary tract
FMA7159	urinary system	FMA71103	left upper urinary tract
FMA7160	genital system	FMA9600	prostate
FMA7161	cardiovascular system	FMA45621	pulmonary vascular system
FMA7161	cardiovascular system	FMA45623	systemic arterial system
FMA7161	cardiovascular system	FMA45626	systemic venous system
FMA7161	cardiovascular system	FMA45628	portal venous system
FMA7161	cardiovascular system	FMA45842	pulmonary arterial tree
FMA7161	cardiovascular system	FMA45847	portal venous tree
FMA7161	cardiovascular system	FMA49894	systemic arterial tree
FMA7165	right side of heart	FMA4716	right marginal vein
FMA7165	right side of heart	FMA7096	right atrium
FMA7165	right side of heart	FMA7098	right ventricle
FMA7165	right side of heart	FMA9291	cavity of right ventricle
FMA7165	right side of heart	FMA73703	wall of right side of heart
FMA7166	left side of heart	FMA7097	left atrium
FMA7166	left side of heart	FMA7101	left ventricle
FMA7166	left side of heart	FMA73704	wall of left side of heart
FMA7181	trunk	FMA9579	perineum
FMA7181	trunk	FMA10427	body wall
FMA7181	trunk	FMA259209	thoracic segment of trunk
FMA7181	trunk	FMA259211	abdominal segment of trunk
FMA7184	lower limb	FMA16581	pelvic girdle
FMA7185	right upper limb	FMA23218	right pectoral girdle
FMA7185	right upper limb	FMA24880	right free upper limb
FMA7185	right upper limb	FMA58401	investing fascia of right upper limb
FMA7186	left upper limb	FMA23219	left pectoral girdle
FMA7186	left upper limb	FMA24881	left free upper limb
FMA7187	right lower limb	FMA16582	right pelvic girdle
FMA7187	right lower limb	FMA24882	right free lower limb
FMA7187	right lower limb	FMA58418	investing fascia of right lower limb
FMA7188	left lower limb	FMA16583	left pelvic girdle
FMA7188	left lower limb	FMA24883	left free lower limb
FMA7197	liver	FMA13362	right lobe of liver
FMA7197	liver	FMA13363	left lobe of liver
FMA7197	liver	FMA14772	hepatic artery proper
FMA7197	liver	FMA15414	right portal vein
FMA7197	liver	FMA15809	right hemiliver
FMA7197	liver	FMA15810	left hemiliver
FMA7197	liver	FMA68016	intrahepatic biliary tree
FMA7198	pancreas	FMA63103	pancreatic duct tree
FMA7198	pancreas	FMA63120	parenchyma of pancreas
FMA7200	small intestine	FMA7206	duodenum
FMA7200	small intestine	FMA7207	jejunum
FMA7200	small intestine	FMA7208	ileum
FMA7200	small intestine	FMA14615	wall of small intestine
FMA7201	large intestine	FMA14619	wall of large intestine
FMA7207	jejunum	FMA16981	proximal part of jejunum
FMA7207	jejunum	FMA16982	middle part of jejunum
FMA7207	jejunum	FMA16983	distal part of jejunum
FMA7208	ileum	FMA14964	proximal part of ileum
FMA7208	ileum	FMA14965	middle part of ileum
FMA7208	ileum	FMA14966	distal part of ileum
FMA7216	outflow part of right ventricle	FMA7246	pulmonary valve
FMA7234	tricuspid valve	FMA7238	anterior leaflet of tricuspid valve
FMA7234	tricuspid valve	FMA7239	posterior leaflet of tricuspid valve
FMA7234	tricuspid valve	FMA7240	septal leaflet of tricuspid valve
FMA7235	mitral valve	FMA7242	anterior leaflet of mitral valve
FMA7235	mitral valve	FMA7243	posterior leaflet of mitral valve
FMA7235	mitral valve	FMA9498	fibrous ring of mitral valve
FMA7236	aortic valve	FMA7252	right posterior cusp of aortic valve
FMA7236	aortic valve	FMA7253	anterior cusp of aortic valve
FMA7236	aortic valve	FMA7254	left posterior cusp of aortic valve
FMA7246	pulmonary valve	FMA7247	left anterior cusp of pulmonary valve
FMA7246	pulmonary valve	FMA7249	right anterior cusp of pulmonary valve
FMA7246	pulmonary valve	FMA7250	posterior cusp of pulmonary valve
FMA7259	papillary muscle of right ventricle	FMA7262	septal papillary muscle of right ventricle
FMA7309	right lung	FMA7333	upper lobe of right lung
FMA7309	right lung	FMA7337	lower lobe of right lung
FMA7309	right lung	FMA7383	middle lobe of lung
FMA7309	right lung	FMA67994	intrapulmonary part of right pulmonary artery
FMA7309	right lung	FMA68002	intrapulmonary part of right superior pulmonary vein
FMA7309	right lung	FMA68003	intrapulmonary part of right inferior pulmonary vein
FMA7310	left lung	FMA7370	upper lobe of left lung
FMA7310	left lung	FMA7371	lower lobe of left lung
FMA7310	left lung	FMA67995	intrapulmonary part of left pulmonary artery
FMA7310	left lung	FMA68004	intrapulmonary part of left superior pulmonary vein
FMA7310	left lung	FMA68005	intrapulmonary part of left inferior pulmonary vein
FMA7333	upper lobe of right lung	FMA7338	right apical bronchopulmonary segment
FMA7333	upper lobe of right lung	FMA7339	right posterior bronchopulmonary segment
FMA7333	upper lobe of right lung	FMA7359	right anterior bronchopulmonary segment
FMA7333	upper lobe of right lung	FMA8655	right upper lobar vein
FMA7333	upper lobe of right lung	FMA31744	upper lobe part of right bronchial tree
FMA7337	lower lobe of right lung	FMA7362	right posterior basal bronchopulmonary segment
FMA7337	lower lobe of right lung	FMA7363	right lateral basal bronchopulmonary segment
FMA7337	lower lobe of right lung	FMA7364	right anterior basal bronchopulmonary segment
FMA7337	lower lobe of right lung	FMA7365	right medial basal bronchopulmonary segment
FMA7337	lower lobe of right lung	FMA7366	right superior bronchopulmonary segment
FMA7338	right apical bronchopulmonary segment	FMA8617	right apical segmental artery
FMA7338	right apical bronchopulmonary segment	FMA68211	right apical segmental bronchial tree
FMA7339	right posterior bronchopulmonary segment	FMA8619	right posterior segmental artery
FMA7359	right anterior bronchopulmonary segment	FMA8620	right anterior segmental artery
FMA7359	right anterior bronchopulmonary segment	FMA68212	right anterior segmental bronchial tree
FMA7360	medial bronchopulmonary segment	FMA8665	medial segmental vein
FMA7360	medial bronchopulmonary segment	FMA68193	medial segmental artery
FMA7360	medial bronchopulmonary segment	FMA68214	medial segmental bronchial tree
FMA7361	lateral bronchopulmonary segment	FMA8664	lateral segmental vein
FMA7361	lateral bronchopulmonary segment	FMA68194	lateral segmental artery
FMA7361	lateral bronchopulmonary segment	FMA68215	lateral segmental bronchial tree
FMA7362	right posterior basal bronchopulmonary segment	FMA8632	right posterior basal segmental artery
FMA7363	right lateral basal bronchopulmonary segment	FMA8631	right lateral basal segmental artery
FMA7363	right lateral basal bronchopulmonary segment	FMA68220	right lateral basal segmental bronchial tree
FMA7364	right anterior basal bronchopulmonary segment	FMA8630	right anterior basal segmental artery
FMA7364	right anterior basal bronchopulmonary segment	FMA68321	right anterior basal segmental bronchial tree
FMA7365	right medial basal bronchopulmonary segment	FMA68218	right medial basal segmental bronchial tree
FMA7370	upper lobe of left lung	FMA7372	apicoposterior bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA7373	left anterior bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA7374	superior lingular bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA7375	inferior lingular bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA7385	left apical bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA7386	left posterior bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA31746	upper lobe part of left bronchial tree
FMA7370	upper lobe of left lung	FMA68198	left upper lobar artery
FMA7371	lower lobe of left lung	FMA7376	left superior bronchopulmonary segment
FMA7371	lower lobe of left lung	FMA7377	left medial basal bronchopulmonary segment
FMA7371	lower lobe of left lung	FMA7378	left anterior basal bronchopulmonary segment
FMA7371	lower lobe of left lung	FMA7379	left lateral basal bronchopulmonary segment
FMA7371	lower lobe of left lung	FMA7380	left posterior basal bronchopulmonary segment
FMA7372	apicoposterior bronchopulmonary segment	FMA8666	apicoposterior segmental vein
FMA7373	left anterior bronchopulmonary segment	FMA8667	left anterior segmental vein
FMA7373	left anterior bronchopulmonary segment	FMA68222	left anterior segmental bronchial tree
FMA7374	superior lingular bronchopulmonary segment	FMA8639	superior lingular artery
FMA7374	superior lingular bronchopulmonary segment	FMA8668	superior lingular vein
FMA7374	superior lingular bronchopulmonary segment	FMA68226	superior lingular bronchial tree
FMA7375	inferior lingular bronchopulmonary segment	FMA8640	inferior lingular artery
FMA7376	left superior bronchopulmonary segment	FMA68228	left superior segmental bronchial tree
FMA7379	left lateral basal bronchopulmonary segment	FMA9450	left lateral basal segmental vein
FMA7379	left lateral basal bronchopulmonary segment	FMA68232	left lateral basal segmental bronchial tree
FMA7380	left posterior basal bronchopulmonary segment	FMA68233	left posterior basal segmental bronchial tree
FMA7383	middle lobe of lung	FMA7360	medial bronchopulmonary segment
FMA7383	middle lobe of lung	FMA7361	lateral bronchopulmonary segment
FMA7383	middle lobe of lung	FMA8656	middle lobar vein
FMA7385	left apical bronchopulmonary segment	FMA8634	left apical segmental artery
FMA7385	left apical bronchopulmonary segment	FMA68223	left apical segmental bronchial tree
FMA7393	tracheobronchial tree	FMA7394	trachea
FMA7393	tracheobronchial tree	FMA26661	right bronchial tree
FMA7393	tracheobronchial tree	FMA26662	left bronchial tree
FMA7395	right main bronchus	FMA68418	right main bronchus proper
FMA7480	rib cage	FMA7857	right first rib
FMA7480	rib cage	FMA7882	right second rib
FMA7480	rib cage	FMA7909	right third rib
FMA7480	rib cage	FMA7957	right fourth rib
FMA7480	rib cage	FMA8066	right fifth rib
FMA7480	rib cage	FMA8175	right sixth rib
FMA7480	rib cage	FMA8229	right seventh rib
FMA7480	rib cage	FMA8283	right eighth rib
FMA7480	rib cage	FMA8364	right ninth rib
FMA7480	rib cage	FMA8445	right tenth rib
FMA7480	rib cage	FMA8531	right eleventh rib
FMA7480	rib cage	FMA8533	right twelfth rib
FMA7480	rib cage	FMA20224	right side of rib cage
FMA7480	rib cage	FMA20225	left side of rib cage
FMA7481	skeletal system of thorax	FMA25572	right bony pectoral girdle
FMA7481	skeletal system of thorax	FMA25573	left bony pectoral girdle
FMA7482	musculoskeletal system	FMA23881	skeletal system
FMA7483	axial skeletal system	FMA71221	axial skeleton
FMA7485	sternum	FMA7486	manubrium
FMA7485	sternum	FMA7487	body of sternum
FMA7485	sternum	FMA7488	xiphoid process
FMA7563	body compartment	FMA85008	compartment of thorax
FMA7563	body compartment	FMA260456	body cavity content
FMA7647	spinal cord	FMA78497	central canal of spinal cord
FMA8617	right apical segmental artery	FMA68662	apical part of right apical segmental artery
FMA8617	right apical segmental artery	FMA68665	anterior part of right apical segmental artery
FMA8619	right posterior segmental artery	FMA68670	apical part of right posterior segmental artery
FMA8619	right posterior segmental artery	FMA68673	posterior part of right posterior segmental artery
FMA8620	right anterior segmental artery	FMA68677	posterior branch of right anterior segmental artery
FMA8620	right anterior segmental artery	FMA68683	anterior branch of right anterior segmental artery
FMA8627	right superior segmental artery	FMA68706	medial branch of right superior segmental artery
FMA8627	right superior segmental artery	FMA68709	superior branch of right superior segmental artery
FMA8627	right superior segmental artery	FMA68712	lateral branch of right superior segmental artery
FMA8630	right anterior basal segmental artery	FMA68723	basal branch of right anterior basal segmental artery
FMA8630	right anterior basal segmental artery	FMA68725	lateral branch of right anterior basal segmental artery
FMA8631	right lateral basal segmental artery	FMA68728	lateral branch of right lateral basal segmental artery
FMA8632	right posterior basal segmental artery	FMA68735	accessory subsuperior branch of right posterior basal segmental artery
FMA8632	right posterior basal segmental artery	FMA68738	laterobasal branch of right posterior basal segmental artery
FMA8632	right posterior basal segmental artery	FMA68741	mediobasal branch of right posterior basal segmental artery
FMA8655	right upper lobar vein	FMA8661	right apical segmental vein
FMA8655	right upper lobar vein	FMA8662	right anterior segmental vein
FMA8655	right upper lobar vein	FMA8663	right posterior segmental vein
FMA8658	lingular vein	FMA8669	inferior lingular vein
FMA8661	right apical segmental vein	FMA8681	apical part of right apical segmental vein
FMA8661	right apical segmental vein	FMA68880	trunk of right apical segmental vein
FMA8661	right apical segmental vein	FMA68921	anterior part of right apical segmental vein
FMA8662	right anterior segmental vein	FMA68926	superior part of right anterior segmental vein
FMA8662	right anterior segmental vein	FMA68928	inferior part of right anterior segmental vein
FMA8664	lateral segmental vein	FMA68944	posterior part of lateral segmental vein
FMA8664	lateral segmental vein	FMA68945	anterior part of lateral segmental vein
FMA8665	medial segmental vein	FMA68982	superior part of medial segmental vein
FMA8665	medial segmental vein	FMA68983	inferior part of medial segmental vein
FMA8666	apicoposterior segmental vein	FMA9437	left apical segmental vein
FMA8666	apicoposterior segmental vein	FMA9438	left posterior segmental vein
FMA8671	right common basal vein	FMA8672	right superior basal vein
FMA8671	right common basal vein	FMA8674	right inferior basal vein
FMA8672	right superior basal vein	FMA8673	right anterior basal segmental vein
FMA8672	right superior basal vein	FMA9425	right lateral basal segmental vein
FMA8674	right inferior basal vein	FMA9422	right medial basal segmental vein
FMA8674	right inferior basal vein	FMA9428	right posterior basal segmental vein
FMA8676	left common basal vein	FMA8677	left superior basal vein
FMA8676	left common basal vein	FMA8679	left inferior basal vein
FMA8677	left superior basal vein	FMA8678	left anterior basal segmental vein
FMA8679	left inferior basal vein	FMA9451	left posterior basal segmental vein
FMA9140	thoracic vertebral column	FMA26089	first thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26094	second thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26095	third thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26096	fourth thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26097	fifth thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26098	sixth thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26099	seventh thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26100	eighth thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26101	ninth thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26102	tenth thoracic intervertebral symphysis
FMA9140	thoracic vertebral column	FMA26103	eleventh thoracic intervertebral symphysis
FMA9473	outflow part of left ventricle	FMA7236	aortic valve
FMA9473	outflow part of left ventricle	FMA9348	subaortic curtain of left ventricle
FMA9533	wall of right ventricle	FMA49207	wall of inflow part of right ventricle
FMA9533	wall of right ventricle	FMA84842	free wall of right ventricle
FMA9535	myocardium of right ventricle	FMA83447	myocardium of right ventricle proper
FMA9551	outflow part of left atrium	FMA7235	mitral valve
FMA9553	anterior wall of right ventricle	FMA7260	anterior papillary muscle of right ventricle
FMA9555	inferior wall of right ventricle	FMA7261	posterior papillary muscle of right ventricle
FMA9556	wall of left ventricle	FMA9558	myocardium of left ventricle
FMA9556	wall of left ventricle	FMA9560	anterior wall of left ventricle
FMA9556	wall of left ventricle	FMA9561	inferior wall of left ventricle
FMA9556	wall of left ventricle	FMA9563	lateral wall of left ventricle
FMA9556	wall of left ventricle	FMA49214	wall of inflow part of left ventricle
FMA9556	wall of left ventricle	FMA84850	free wall of left ventricle
FMA9558	myocardium of left ventricle	FMA83448	myocardium of left ventricle proper
FMA9561	inferior wall of left ventricle	FMA87179	myocardium of inferior wall of left ventricle
FMA9563	lateral wall of left ventricle	FMA7265	anterolateral head of lateral papillary muscle of left ventricle
FMA9563	lateral wall of left ventricle	FMA87178	myocardium of lateral wall of left ventricle
FMA9576	thorax	FMA13295	diaphragm
FMA9576	thorax	FMA24816	anterior chest
FMA9576	thorax	FMA50060	chest wall
FMA9576	thorax	FMA87552	posterior chest
FMA9577	abdomen	FMA9578	pelvis
FMA9577	abdomen	FMA61680	abdomen proper
FMA9577	abdomen	FMA85031	compartment of abdomen
FMA9577	abdomen	FMA259054	wall of abdomen
FMA9578	pelvis	FMA20218	mons pubis
FMA9578	pelvis	FMA24228	posterior part of pelvis
FMA9579	perineum	FMA20347	anal part of perineum
FMA9584	peritoneum	FMA14703	visceral peritoneum
FMA9607	thymus	FMA71194	right lobe of thymus
FMA9607	thymus	FMA71195	left lobe of thymus
FMA9668	endocrine system	FMA13889	pituitary gland
FMA9668	endocrine system	FMA15629	right adrenal gland
FMA9668	endocrine system	FMA15630	left adrenal gland
FMA9713	right hand	FMA60325	right thumb
FMA9713	right hand	FMA60327	right little finger
FMA9713	right hand	FMA60329	right ring finger
FMA9713	right hand	FMA60331	right middle finger
FMA9713	right hand	FMA60333	right index finger
FMA9713	right hand	FMA61068	right hand proper
FMA9714	left hand	FMA60326	left thumb
FMA9714	left hand	FMA60328	left little finger
FMA9714	left hand	FMA60330	left ring finger
FMA9714	left hand	FMA60332	left middle finger
FMA9714	left hand	FMA60334	left index finger
FMA9714	left hand	FMA61069	left hand proper
FMA9826	mediastinum	FMA9827	superior mediastinum
FMA9826	mediastinum	FMA9828	inferior mediastinum
FMA9826	mediastinum	FMA79273	content of mediastinum
FMA9827	superior mediastinum	FMA79274	content of superior mediastinum
FMA9839	middle mediastinum	FMA79278	content of middle mediastinum
FMA9840	posterior mediastinum	FMA79277	content of posterior mediastinum
FMA9908	peritoneal sac	FMA9584	peritoneum
FMA10427	body wall	FMA87598	skeletal system of trunk
FMA10428	thoracic wall	FMA7480	rib cage
FMA10429	wall of abdomen proper	FMA14627	anterior abdominal wall
FMA10429	wall of abdomen proper	FMA14628	posterior abdominal wall
FMA10430	pelvic wall	FMA22324	right obturator internus
FMA10430	pelvic wall	FMA22325	left obturator internus
FMA10430	pelvic wall	FMA22340	right piriformis
FMA10430	pelvic wall	FMA22341	left piriformis
FMA10682	left transverse cervical artery	FMA10552	left dorsal scapular artery
FMA10682	left transverse cervical artery	FMA10683	left superficial cervical artery
FMA10699	right transverse cervical artery	FMA4057	right dorsal scapular artery
FMA10699	right transverse cervical artery	FMA10700	right superficial cervical artery
FMA11343	right foot	FMA24482	right talus
FMA11343	right foot	FMA24497	right calcaneus
FMA11343	right foot	FMA24500	navicular bone of right foot
FMA11343	right foot	FMA24521	right medial cuneiform bone
FMA11343	right foot	FMA24523	right intermediate cuneiform bone
FMA11343	right foot	FMA24525	right lateral cuneiform bone
FMA11343	right foot	FMA24528	right cuboid bone
FMA11343	right foot	FMA60335	right big toe
FMA11343	right foot	FMA60337	right second toe
FMA11343	right foot	FMA60339	right third toe
FMA11343	right foot	FMA60341	right fourth toe
FMA11343	right foot	FMA60343	right little toe
FMA11343	right foot	FMA73086	right foot proper
FMA11344	left foot	FMA24483	left talus
FMA11344	left foot	FMA24498	left calcaneus
FMA11344	left foot	FMA24501	navicular bone of left foot
FMA11344	left foot	FMA24522	left medial cuneiform bone
FMA11344	left foot	FMA24524	left intermediate cuneiform bone
FMA11344	left foot	FMA24526	left lateral cuneiform bone
FMA11344	left foot	FMA24529	left cuboid bone
FMA11344	left foot	FMA60336	left big toe
FMA11344	left foot	FMA60338	left second toe
FMA11344	left foot	FMA60340	left third toe
FMA11344	left foot	FMA60342	left fourth toe
FMA11344	left foot	FMA60344	left little toe
FMA11344	left foot	FMA73087	left foot proper
FMA11345	right forearm	FMA23464	right radius
FMA11345	right forearm	FMA23467	right ulna
FMA11346	left forearm	FMA23465	left radius
FMA11346	left forearm	FMA23468	left ulna
FMA11346	left forearm	FMA58576	investing fascia of left forearm
FMA12514	right eyeball	FMA58099	wall of right eyeball
FMA12514	right eyeball	FMA58107	vascular layer of right eyeball
FMA12514	right eyeball	FMA58236	right iris
FMA12514	right eyeball	FMA58242	right lens
FMA12514	right eyeball	FMA58828	right vitreous body
FMA12514	right eyeball	FMA58839	suspensory ligament of right lens
FMA12515	left eyeball	FMA58082	anterior chamber of left eyeball
FMA12515	left eyeball	FMA58100	wall of left eyeball
FMA12515	left eyeball	FMA58108	vascular layer of left eyeball
FMA12515	left eyeball	FMA58237	left iris
FMA12515	left eyeball	FMA58243	left lens
FMA12515	left eyeball	FMA58829	left vitreous body
FMA12515	left eyeball	FMA58840	suspensory ligament of left lens
FMA13362	right lobe of liver	FMA14338	right hepatic vein
FMA13362	right lobe of liver	FMA14778	right hepatic artery
FMA13362	right lobe of liver	FMA15800	anterior inferior segmental tributary of middle hepatic vein
FMA13362	right lobe of liver	FMA71857	right hepatic biliary tree
FMA13363	left lobe of liver	FMA13365	caudate lobe of liver
FMA13363	left lobe of liver	FMA14339	left hepatic vein
FMA13363	left lobe of liver	FMA14779	left hepatic artery
FMA13363	left lobe of liver	FMA15415	left portal vein
FMA13363	left lobe of liver	FMA71858	left hepatic biliary tree
FMA13373	right pectoralis major	FMA45874	abdominal part of right pectoralis major
FMA13373	right pectoralis major	FMA79979	sternocostal part of right pectoralis major
FMA13374	left pectoralis major	FMA45875	abdominal part of left pectoralis major
FMA13374	left pectoralis major	FMA79980	sternocostal part of left pectoralis major
FMA13478	vertebral column	FMA9140	thoracic vertebral column
FMA13478	vertebral column	FMA16202	sacrum
FMA13478	vertebral column	FMA16203	lumbar vertebral column
FMA13478	vertebral column	FMA24138	cervical vertebral column
FMA13478	vertebral column	FMA25511	intervertebral symphysis
FMA13478	vertebral column	FMA72063	set of cervical vertebrae
FMA13478	vertebral column	FMA72064	set of thoracic vertebrae
FMA13478	vertebral column	FMA72065	set of lumbar vertebrae
FMA14615	wall of small intestine	FMA14618	wall of ileum
FMA14619	wall of large intestine	FMA14971	muscle layer of large intestine
FMA14627	anterior abdominal wall	FMA78435	musculature of anterior abdominal wall
FMA14628	posterior abdominal wall	FMA22342	right psoas major
FMA14628	posterior abdominal wall	FMA22343	left psoas major
FMA14665	biliary tree	FMA14539	cystic duct
FMA14665	biliary tree	FMA71891	hepatic biliary tree
FMA14703	visceral peritoneum	FMA14643	mesentery of small intestine
FMA14703	visceral peritoneum	FMA14647	transverse mesocolon
FMA14703	visceral peritoneum	FMA16549	mesoappendix
FMA14749	superior mesenteric artery	FMA14805	inferior pancreaticoduodenal artery
FMA14749	superior mesenteric artery	FMA14809	ileal artery
FMA14749	superior mesenteric artery	FMA14810	middle colic artery
FMA14749	superior mesenteric artery	FMA14811	right colic artery
FMA14749	superior mesenteric artery	FMA14815	ileocolic artery
FMA14749	superior mesenteric artery	FMA66358	trunk of superior mesenteric artery
FMA14750	inferior mesenteric artery	FMA14826	left colic artery
FMA14750	inferior mesenteric artery	FMA14830	sigmoid artery
FMA14750	inferior mesenteric artery	FMA14831	marginal artery of colon
FMA14750	inferior mesenteric artery	FMA14832	superior rectal artery
FMA14752	right renal artery	FMA66363	trunk of right renal artery
FMA14752	right renal artery	FMA69265	right inferior suprarenal artery
FMA14752	right renal artery	FMA70492	ureteric segment of right renal artery
FMA14753	left renal artery	FMA66364	trunk of left renal artery
FMA14753	left renal artery	FMA69266	left inferior suprarenal artery
FMA14753	left renal artery	FMA70493	ureteric segment of left renal artery
FMA14764	common iliac artery	FMA18805	external iliac artery
FMA14765	right common iliac artery	FMA18806	right external iliac artery
FMA14765	right common iliac artery	FMA18809	right internal iliac artery
FMA14766	left common iliac artery	FMA18807	left external iliac artery
FMA14766	left common iliac artery	FMA18810	left internal iliac artery
FMA14771	common hepatic artery	FMA14775	gastroduodenal artery
FMA14771	common hepatic artery	FMA14776	right gastric artery
FMA14775	gastroduodenal artery	FMA76574	trunk of gastroduodenal artery
