parent id	parent name	child id	child name
FMA7474	long bone	FMA7574	rib
FMA7474	long bone	FMA9611	femur
FMA7474	long bone	FMA9612	metacarpal bone
FMA7474	long bone	FMA13303	humerus
FMA7474	long bone	FMA13321	clavicle
FMA7474	long bone	FMA23463	radius
FMA7474	long bone	FMA23466	ulna
FMA7474	long bone	FMA23914	phalanx of finger
FMA7474	long bone	FMA24476	tibia
FMA7474	long bone	FMA24479	fibula
FMA7474	long bone	FMA24492	metatarsal bone
FMA7474	long bone	FMA24493	phalanx of toe
FMA7475	short bone	FMA23889	carpal bone
FMA7475	short bone	FMA24491	tarsal bone
FMA7475	short bone	FMA32672	sesamoid bone
FMA7476	flat bone	FMA9613	parietal bone
FMA7476	flat bone	FMA13394	scapula
FMA7476	flat bone	FMA16585	hip bone
FMA7476	flat bone	FMA52734	frontal bone
FMA7476	flat bone	FMA52735	occipital bone
FMA7476	flat bone	FMA52745	nasal bone
FMA7477	irregular bone	FMA7478	pneumatized bone
FMA7477	irregular bone	FMA9710	vomer
FMA7477	irregular bone	FMA9914	vertebra
FMA7477	irregular bone	FMA16202	sacrum
FMA7477	irregular bone	FMA52741	lacrimal bone
FMA7477	irregular bone	FMA52746	palatine bone
FMA7477	irregular bone	FMA52747	zygomatic bone
FMA7477	irregular bone	FMA52748	mandible
FMA7477	irregular bone	FMA52749	hyoid bone
FMA7477	irregular bone	FMA54736	inferior nasal concha
FMA7478	pneumatized bone	FMA9711	maxilla
FMA7478	pneumatized bone	FMA52736	sphenoid bone
FMA7478	pneumatized bone	FMA52737	temporal bone
FMA7478	pneumatized bone	FMA52740	ethmoid
FMA7538	cartilage organ component	FMA7591	costal cartilage
FMA7574	rib	FMA7592	true rib
FMA7574	rib	FMA7594	false rib
FMA7591	costal cartilage	FMA7603	first costal cartilage
FMA7591	costal cartilage	FMA7703	second costal cartilage
FMA7591	costal cartilage	FMA7741	third costal cartilage
FMA7591	costal cartilage	FMA7768	fourth costal cartilage
FMA7591	costal cartilage	FMA7795	fifth costal cartilage
FMA7591	costal cartilage	FMA7822	sixth costal cartilage
FMA7591	costal cartilage	FMA7849	seventh costal cartilage
FMA7592	true rib	FMA7593	typical rib
FMA7592	true rib	FMA7596	atypical rib
FMA7593	typical rib	FMA7638	third rib
FMA7593	typical rib	FMA7749	fourth rib
FMA7593	typical rib	FMA7776	fifth rib
FMA7593	typical rib	FMA7830	seventh rib
FMA7593	typical rib	FMA8147	sixth rib
FMA7594	false rib	FMA7595	floating rib
FMA7594	false rib	FMA8120	eighth rib
FMA7594	false rib	FMA8337	ninth rib
FMA7594	false rib	FMA8418	tenth rib
FMA7595	floating rib	FMA8499	eleventh rib
FMA7595	floating rib	FMA8515	twelfth rib
FMA7596	atypical rib	FMA7597	first rib
FMA7596	atypical rib	FMA7620	second rib
FMA7597	first rib	FMA7857	right first rib
FMA7597	first rib	FMA7987	left first rib
FMA7603	first costal cartilage	FMA7875	right first costal cartilage
FMA7603	first costal cartilage	FMA8005	left first costal cartilage
FMA7620	second rib	FMA7882	right second rib
FMA7620	second rib	FMA8012	left second rib
FMA7638	third rib	FMA7909	right third rib
FMA7638	third rib	FMA8039	left third rib
FMA7646	retinaculum	FMA39988	flexor retinaculum of wrist
FMA7703	second costal cartilage	FMA7886	right second costal cartilage
FMA7703	second costal cartilage	FMA8031	left second costal cartilage
FMA7741	third costal cartilage	FMA7913	right third costal cartilage
FMA7741	third costal cartilage	FMA8058	left third costal cartilage
FMA7749	fourth rib	FMA7957	right fourth rib
FMA7749	fourth rib	FMA8148	left fourth rib
FMA7768	fourth costal cartilage	FMA7976	right fourth costal cartilage
FMA7768	fourth costal cartilage	FMA8167	left fourth costal cartilage
FMA7776	fifth rib	FMA8066	right fifth rib
FMA7776	fifth rib	FMA8093	left fifth rib
FMA7795	fifth costal cartilage	FMA8070	right fifth costal cartilage
FMA7795	fifth costal cartilage	FMA8112	left fifth costal cartilage
FMA7822	sixth costal cartilage	FMA8194	right sixth costal cartilage
FMA7822	sixth costal cartilage	FMA8221	left sixth costal cartilage
FMA7830	seventh rib	FMA8229	right seventh rib
FMA7830	seventh rib	FMA8256	left seventh rib
FMA7849	seventh costal cartilage	FMA8248	right seventh costal cartilage
FMA7849	seventh costal cartilage	FMA8275	left seventh costal cartilage
FMA8120	eighth rib	FMA8283	right eighth rib
FMA8120	eighth rib	FMA8310	left eighth rib
FMA8147	sixth rib	FMA8175	right sixth rib
FMA8147	sixth rib	FMA8202	left sixth rib
FMA8337	ninth rib	FMA8364	right ninth rib
FMA8337	ninth rib	FMA8391	left ninth rib
FMA8418	tenth rib	FMA8445	right tenth rib
FMA8418	tenth rib	FMA8472	left tenth rib
FMA8499	eleventh rib	FMA8531	right eleventh rib
FMA8499	eleventh rib	FMA8532	left eleventh rib
FMA8515	twelfth rib	FMA8533	right twelfth rib
FMA8515	twelfth rib	FMA8534	left twelfth rib
FMA8615	pulmonary arterial trunk	FMA8612	pulmonary trunk
FMA8648	trunk of pulmonary vein	FMA24551	trunk of intrapulmonary vein
FMA8683	superior part of anterior segmental vein	FMA68926	superior part of right anterior segmental vein
FMA8693	inferior part of anterior segmental vein	FMA68928	inferior part of right anterior segmental vein
FMA8702	upper lobar artery	FMA68197	right upper lobar artery
FMA8707	apical segmental artery	FMA8634	left apical segmental artery
FMA8714	superior segmental artery	FMA8642	left superior segmental artery
FMA8716	medial basal segmental artery	FMA8644	left medial basal segmental artery
FMA8717	anterior basal segmental artery	FMA8645	left anterior basal segmental artery
FMA8718	lateral basal segmental artery	FMA8646	left lateral basal segmental artery
FMA8719	posterior basal segmental artery	FMA8647	left posterior basal segmental artery
FMA8755	segmental pulmonary artery	FMA8639	superior lingular artery
FMA8755	segmental pulmonary artery	FMA8640	inferior lingular artery
FMA8755	segmental pulmonary artery	FMA8707	apical segmental artery
FMA8755	segmental pulmonary artery	FMA8714	superior segmental artery
FMA8755	segmental pulmonary artery	FMA8716	medial basal segmental artery
FMA8755	segmental pulmonary artery	FMA8717	anterior basal segmental artery
FMA8755	segmental pulmonary artery	FMA8718	lateral basal segmental artery
FMA8755	segmental pulmonary artery	FMA8719	posterior basal segmental artery
FMA8755	segmental pulmonary artery	FMA13278	anterior segmental artery
FMA8755	segmental pulmonary artery	FMA13280	posterior segmental artery
FMA9139	thoracic vertebra	FMA9165	first thoracic vertebra
FMA9139	thoracic vertebra	FMA9187	second thoracic vertebra
FMA9139	thoracic vertebra	FMA9209	third thoracic vertebra
FMA9139	thoracic vertebra	FMA9248	fourth thoracic vertebra
FMA9139	thoracic vertebra	FMA9922	fifth thoracic vertebra
FMA9139	thoracic vertebra	FMA9945	sixth thoracic vertebra
FMA9139	thoracic vertebra	FMA9968	seventh thoracic vertebra
FMA9139	thoracic vertebra	FMA9991	eighth thoracic vertebra
FMA9139	thoracic vertebra	FMA10014	ninth thoracic vertebra
FMA9139	thoracic vertebra	FMA10037	tenth thoracic vertebra
FMA9139	thoracic vertebra	FMA10059	eleventh thoracic vertebra
FMA9139	thoracic vertebra	FMA10081	twelfth thoracic vertebra
FMA9311	subsegmental pulmonary artery	FMA68667	subsegmental part of apical segmental artery
FMA9311	subsegmental pulmonary artery	FMA68668	subsegmental part of posterior segmental artery
FMA9311	subsegmental pulmonary artery	FMA68675	subsegmental part of anterior segmental artery
FMA9311	subsegmental pulmonary artery	FMA68689	subsegmental part of lateral segmental artery
FMA9311	subsegmental pulmonary artery	FMA68692	subsegmental part of medial segmental artery
FMA9311	subsegmental pulmonary artery	FMA68705	subsegmental part of superior segmental artery
FMA9311	subsegmental pulmonary artery	FMA68720	subsegmental part of anterior basal segmental artery
FMA9311	subsegmental pulmonary artery	FMA68727	subsegmental part of lateral basal segmental artery
FMA9311	subsegmental pulmonary artery	FMA68733	subsegmental part of posterior basal segmental artery
FMA9337	organ cavity subdivision	FMA59402	lacrimal lake
FMA9338	anatomical conduit space	FMA75351	interventricular foramen
FMA9411	segmental pulmonary vein	FMA8668	superior lingular vein
FMA9411	segmental pulmonary vein	FMA8669	inferior lingular vein
FMA9411	segmental pulmonary vein	FMA13289	medial basal segmental vein
FMA9411	segmental pulmonary vein	FMA13290	anterior basal segmental vein
FMA9411	segmental pulmonary vein	FMA13291	lateral basal segmental vein
FMA9411	segmental pulmonary vein	FMA13292	posterior basal segmental vein
FMA9411	segmental pulmonary vein	FMA13442	anterior segmental vein
FMA9411	segmental pulmonary vein	FMA13443	posterior segmental vein
FMA9411	segmental pulmonary vein	FMA13444	apical segmental vein
FMA9411	segmental pulmonary vein	FMA13445	superior segmental vein
FMA9413	subsegmental pulmonary vein	FMA9419	subsegmental part of lateral segmental vein
FMA9413	subsegmental pulmonary vein	FMA9421	subsegmental part of medial segmental vein
FMA9413	subsegmental pulmonary vein	FMA14309	subsegmental part of apical segmental vein
FMA9413	subsegmental pulmonary vein	FMA14310	subsegmental part of anterior segmental vein
FMA9419	subsegmental part of lateral segmental vein	FMA68944	posterior part of lateral segmental vein
FMA9419	subsegmental part of lateral segmental vein	FMA68945	anterior part of lateral segmental vein
FMA9421	subsegmental part of medial segmental vein	FMA68982	superior part of medial segmental vein
FMA9421	subsegmental part of medial segmental vein	FMA68983	inferior part of medial segmental vein
FMA9464	cavity of cardiac chamber	FMA13237	cavity of atrium
FMA9464	cavity of cardiac chamber	FMA13238	cavity of ventricle
FMA9597	salivary gland	FMA59788	major salivary gland
FMA9604	adrenal gland	FMA15629	right adrenal gland
FMA9604	adrenal gland	FMA15630	left adrenal gland
FMA9611	femur	FMA24474	right femur
FMA9611	femur	FMA24475	left femur
FMA9612	metacarpal bone	FMA23899	first metacarpal bone
FMA9612	metacarpal bone	FMA23900	second metacarpal bone
FMA9612	metacarpal bone	FMA23901	third metacarpal bone
FMA9612	metacarpal bone	FMA23902	fourth metacarpal bone
FMA9612	metacarpal bone	FMA23903	fifth metacarpal bone
FMA9613	parietal bone	FMA52788	right parietal bone
FMA9613	parietal bone	FMA52789	left parietal bone
FMA9616	muscle of head	FMA46689	muscle of tongue
FMA9616	muscle of head	FMA46726	muscle of palate
FMA9616	muscle of head	FMA46751	muscle of face
FMA9617	muscle of neck	FMA13338	infrahyoid muscle
FMA9617	muscle of neck	FMA46290	suprahyoid muscle
FMA9617	muscle of neck	FMA46562	muscle of larynx
FMA9617	muscle of neck	FMA46619	muscle of pharynx
FMA9617	muscle of neck	FMA64822	superficial muscle of neck
FMA9617	muscle of neck	FMA64829	scalene muscle
FMA9619	muscle of thorax	FMA9760	transversus thoracis
FMA9619	muscle of thorax	FMA13295	diaphragm
FMA9619	muscle of thorax	FMA13354	intercostal muscle
FMA9620	muscle of abdomen	FMA20278	muscle of anterior abdominal wall
FMA9621	muscle of upper limb	FMA37347	muscle of pectoral girdle
FMA9621	muscle of upper limb	FMA37348	muscle of free upper limb
FMA9622	muscle of lower limb	FMA37367	muscle of pelvic girdle
FMA9622	muscle of lower limb	FMA37368	muscle of free lower limb
FMA9623	perineal muscle	FMA19728	superficial perineal muscle
FMA9625	stylohyoid	FMA45826	right stylohyoid
FMA9625	stylohyoid	FMA45827	left stylohyoid
FMA9629	supraspinatus	FMA32544	right supraspinatus
FMA9629	supraspinatus	FMA32545	left supraspinatus
FMA9637	portion of tissue	FMA9640	portion of connective tissue
FMA9640	portion of connective tissue	FMA20107	irregular connective tissue
FMA9649	decussation	FMA11336	linea alba
FMA9657	anatomical line	FMA55077	pharyngeal raphe
FMA9657	anatomical line	FMA55618	pterygomandibular raphe
FMA9703	nasolacrimal duct	FMA59555	right nasolacrimal duct
FMA9703	nasolacrimal duct	FMA59556	left nasolacrimal duct
FMA9704	ureter	FMA15571	right ureter
FMA9704	ureter	FMA15572	left ureter
FMA9706	bile duct	FMA14678	extrahepatic bile duct
FMA9708	talus	FMA24482	right talus
FMA9708	talus	FMA24483	left talus
FMA9711	maxilla	FMA53649	right maxilla
FMA9711	maxilla	FMA53650	left maxilla
FMA9721	tendon	FMA46442	tendinous arch of levator ani
FMA9721	tendon	FMA54158	tendon of levator palpebrae superioris
FMA9721	tendon	FMA65410	intermediate tendon
FMA9760	transversus thoracis	FMA9761	right transversus thoracis
FMA9760	transversus thoracis	FMA9762	left transversus thoracis
FMA9914	vertebra	FMA9139	thoracic vertebra
FMA9914	vertebra	FMA9915	cervical vertebra
FMA9914	vertebra	FMA9921	lumbar vertebra
FMA9915	cervical vertebra	FMA12519	atlas
FMA9915	cervical vertebra	FMA12520	axis
FMA9915	cervical vertebra	FMA12521	third cervical vertebra
FMA9915	cervical vertebra	FMA12522	fourth cervical vertebra
FMA9915	cervical vertebra	FMA12523	fifth cervical vertebra
FMA9915	cervical vertebra	FMA12524	sixth cervical vertebra
FMA9915	cervical vertebra	FMA12525	seventh cervical vertebra
FMA9921	lumbar vertebra	FMA13072	first lumbar vertebra
FMA9921	lumbar vertebra	FMA13073	second lumbar vertebra
FMA9921	lumbar vertebra	FMA13074	third lumbar vertebra
FMA9921	lumbar vertebra	FMA13075	fourth lumbar vertebra
FMA9921	lumbar vertebra	FMA13076	fifth lumbar vertebra
FMA10446	intervertebral disk	FMA10455	intervertebral disk of thoracic vertebra
FMA10446	intervertebral disk	FMA13894	intervertebral disk of lumbar vertebra
FMA10446	intervertebral disk	FMA13895	intervertebral disk of cervical vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA10458	intervertebral disk of first thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13495	intervertebral disk of second thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13500	intervertebral disk of third thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13501	intervertebral disk of fourth thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13502	intervertebral disk of fifth thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13503	intervertebral disk of sixth thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13504	intervertebral disk of seventh thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13505	intervertebral disk of eighth thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13506	intervertebral disk of ninth thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13507	intervertebral disk of tenth thoracic vertebra
FMA10455	intervertebral disk of thoracic vertebra	FMA13508	intervertebral disk of eleventh thoracic vertebra
FMA10474	zone of muscle organ	FMA19089	zone of levator ani
FMA10474	zone of muscle organ	FMA22429	zone of quadriceps femoris
FMA10474	zone of muscle organ	FMA32529	zone of trapezius
FMA10474	zone of muscle organ	FMA34676	zone of deltoid
FMA10474	zone of muscle organ	FMA34686	zone of pectoralis major
FMA10474	zone of muscle organ	FMA46279	zone of longus colli
FMA10474	zone of muscle organ	FMA46601	zone of oblique arytenoid
FMA10474	zone of muscle organ	FMA46608	zone of cricothyroid
FMA10483	zone of bone organ	FMA12215	zone of sternum
FMA10636	costocervical trunk	FMA4086	left costocervical trunk
FMA10636	costocervical trunk	FMA5039	right costocervical trunk
FMA10645	musculophrenic artery	FMA4077	left musculophrenic artery
FMA10645	musculophrenic artery	FMA10692	right musculophrenic artery
FMA10646	superior epigastric artery	FMA3988	right superior epigastric artery
FMA10646	superior epigastric artery	FMA4083	left superior epigastric artery
FMA10659	deep cervical artery	FMA4134	left deep cervical artery
FMA10659	deep cervical artery	FMA10660	right deep cervical artery
FMA10662	inferior thyroid artery	FMA10680	left inferior thyroid artery
FMA10662	inferior thyroid artery	FMA10697	right inferior thyroid artery
FMA10663	suprascapular artery	FMA10681	left suprascapular artery
FMA10663	suprascapular artery	FMA10698	right suprascapular artery
FMA10664	transverse cervical artery	FMA10682	left transverse cervical artery
FMA10664	transverse cervical artery	FMA10699	right transverse cervical artery
FMA10665	superficial cervical artery	FMA10683	left superficial cervical artery
FMA10665	superficial cervical artery	FMA10700	right superficial cervical artery
FMA10704	variant bronchial artery	FMA14177	bronchial branch of arch of aorta
FMA11195	segment of neural tree organ	FMA5884	ganglion
FMA11195	segment of neural tree organ	FMA5913	nerve trunk
FMA11195	segment of neural tree organ	FMA65132	nerve
FMA11337	zone of continuity	FMA3726	anastomosis
FMA11337	zone of continuity	FMA11338	ileocecal junction
FMA12215	zone of sternum	FMA7486	manubrium
FMA12224	segment of tracheobronchial tree	FMA7394	trachea
FMA12224	segment of tracheobronchial tree	FMA7409	bronchus
FMA12224	segment of tracheobronchial tree	FMA31739	segment of bronchial tree
FMA12516	tooth	FMA12823	incisor tooth
FMA12516	tooth	FMA55636	canine tooth
FMA12516	tooth	FMA55637	premolar tooth
FMA12516	tooth	FMA55638	molar tooth
FMA12823	incisor tooth	FMA84201	secondary incisor tooth
FMA12845	subcostal vein	FMA4844	right subcostal vein
FMA12845	subcostal vein	FMA4951	left subcostal vein
FMA12846	cardiac vein	FMA4707	great cardiac vein
FMA12846	cardiac vein	FMA4708	left marginal vein
FMA12846	cardiac vein	FMA4712	posterior vein of left ventricle
FMA12846	cardiac vein	FMA4713	middle cardiac vein
FMA12846	cardiac vein	FMA4714	small cardiac vein
FMA12846	cardiac vein	FMA4716	right marginal vein
FMA12846	cardiac vein	FMA66403	anterior interventricular vein
FMA12846	cardiac vein	FMA76767	anterior cardiac vein
FMA12858	ascending lumbar vein	FMA4843	right ascending lumbar vein
FMA12858	ascending lumbar vein	FMA4950	left ascending lumbar vein
FMA13087	segment of aorta	FMA3784	descending aorta
FMA13087	segment of aorta	FMA3789	abdominal aorta
FMA13087	segment of aorta	FMA68045	segment of thoracic aorta
FMA13109	pectoralis minor	FMA13375	right pectoralis minor
FMA13109	pectoralis minor	FMA13376	left pectoralis minor
FMA13237	cavity of atrium	FMA9465	cavity of left atrium
FMA13237	cavity of atrium	FMA11359	cavity of right atrium
FMA13238	cavity of ventricle	FMA9291	cavity of right ventricle
FMA13238	cavity of ventricle	FMA9466	cavity of left ventricle
FMA13256	wall of cardiac chamber	FMA13883	wall of atrium
FMA13256	wall of cardiac chamber	FMA13884	wall of ventricle
FMA13278	anterior segmental artery	FMA8620	right anterior segmental artery
FMA13278	anterior segmental artery	FMA13279	left anterior segmental artery
FMA13280	posterior segmental artery	FMA8635	left posterior segmental artery
FMA13289	medial basal segmental vein	FMA9422	right medial basal segmental vein
FMA13290	anterior basal segmental vein	FMA8673	right anterior basal segmental vein
FMA13290	anterior basal segmental vein	FMA8678	left anterior basal segmental vein
FMA13291	lateral basal segmental vein	FMA9425	right lateral basal segmental vein
FMA13291	lateral basal segmental vein	FMA9450	left lateral basal segmental vein
FMA13292	posterior basal segmental vein	FMA9428	right posterior basal segmental vein
FMA13292	posterior basal segmental vein	FMA9451	left posterior basal segmental vein
FMA13303	humerus	FMA23130	right humerus
FMA13303	humerus	FMA23131	left humerus
FMA13321	clavicle	FMA13322	right clavicle
FMA13321	clavicle	FMA13323	left clavicle
FMA13324	cephalic vein	FMA13325	right cephalic vein
FMA13324	cephalic vein	FMA13326	left cephalic vein
FMA13329	axillary vein	FMA13330	right axillary vein
FMA13329	axillary vein	FMA13331	left axillary vein
FMA13335	external oblique	FMA13336	right external oblique
FMA13335	external oblique	FMA13337	left external oblique
FMA13338	infrahyoid muscle	FMA13341	sternohyoid
FMA13338	infrahyoid muscle	FMA13342	omohyoid
FMA13338	infrahyoid muscle	FMA13343	sternothyroid
FMA13338	infrahyoid muscle	FMA13344	thyrohyoid
FMA13341	sternohyoid	FMA13346	right sternohyoid
FMA13341	sternohyoid	FMA13347	left sternohyoid
FMA13342	omohyoid	FMA13348	right omohyoid
FMA13342	omohyoid	FMA13349	left omohyoid
FMA13343	sternothyroid	FMA13350	right sternothyroid
FMA13343	sternothyroid	FMA13351	left sternothyroid
FMA13344	thyrohyoid	FMA13352	right thyrohyoid
FMA13344	thyrohyoid	FMA13353	left thyrohyoid
FMA13354	intercostal muscle	FMA9756	external intercostal muscle
FMA13354	intercostal muscle	FMA9757	internal intercostal muscle
FMA13354	intercostal muscle	FMA9758	innermost intercostal muscle
FMA13379	rhomboid major	FMA13381	right rhomboid major
FMA13379	rhomboid major	FMA13382	left rhomboid major
FMA13380	rhomboid minor	FMA13383	right rhomboid minor
FMA13380	rhomboid minor	FMA13384	left rhomboid minor
FMA13385	scalenus anterior	FMA13392	right scalenus anterior
FMA13385	scalenus anterior	FMA13393	left scalenus anterior
FMA13386	scalenus medius	FMA13390	right scalenus medius
FMA13386	scalenus medius	FMA13391	left scalenus medius
FMA13387	scalenus posterior	FMA13388	right scalenus posterior
FMA13387	scalenus posterior	FMA13389	left scalenus posterior
FMA13394	scapula	FMA13395	right scapula
FMA13394	scapula	FMA13396	left scapula
FMA13397	serratus anterior	FMA13398	right serratus anterior
FMA13397	serratus anterior	FMA13399	left serratus anterior
FMA13400	serratus posterior	FMA13401	serratus posterior superior
FMA13400	serratus posterior	FMA13402	serratus posterior inferior
FMA13401	serratus posterior superior	FMA13403	right serratus posterior superior
FMA13401	serratus posterior superior	FMA13404	left serratus posterior superior
FMA13402	serratus posterior inferior	FMA13405	right serratus posterior inferior
FMA13402	serratus posterior inferior	FMA13406	left serratus posterior inferior
FMA13407	sternocleidomastoid	FMA13408	right sternocleidomastoid
FMA13407	sternocleidomastoid	FMA13409	left sternocleidomastoid
FMA13410	subclavius	FMA13411	left subclavius
FMA13410	subclavius	FMA13412	right subclavius
FMA13413	subscapularis	FMA13414	right subscapularis
FMA13413	subscapularis	FMA13415	left subscapularis
FMA13442	anterior segmental vein	FMA8662	right anterior segmental vein
FMA13442	anterior segmental vein	FMA8667	left anterior segmental vein
FMA13443	posterior segmental vein	FMA8663	right posterior segmental vein
FMA13443	posterior segmental vein	FMA9438	left posterior segmental vein
