concept id	name	element file id
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2638
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2639
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2640
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2642
FMA3860	diagonal branch of anterior descending branch of left coronary artery	FJ2648
FMA3862	anterior interventricular branch of left coronary artery	FJ2631
FMA3862	anterior interventricular branch of left coronary artery	FJ2632
FMA3862	anterior interventricular branch of left coronary artery	FJ2633
FMA3862	anterior interventricular branch of left coronary artery	FJ2634
FMA3862	anterior interventricular branch of left coronary artery	FJ2635
FMA3862	anterior interventricular branch of left coronary artery	FJ2636
FMA3862	anterior interventricular branch of left coronary artery	FJ2637
FMA3862	anterior interventricular branch of left coronary artery	FJ2638
FMA3862	anterior interventricular branch of left coronary artery	FJ2639
FMA3862	anterior interventricular branch of left coronary artery	FJ2640
FMA3862	anterior interventricular branch of left coronary artery	FJ2641
FMA3862	anterior interventricular branch of left coronary artery	FJ2642
FMA3862	anterior interventricular branch of left coronary artery	FJ2643
FMA3862	anterior interventricular branch of left coronary artery	FJ2644
FMA3862	anterior interventricular branch of left coronary artery	FJ2645
FMA3862	anterior interventricular branch of left coronary artery	FJ2646
FMA3862	anterior interventricular branch of left coronary artery	FJ2647
FMA3862	anterior interventricular branch of left coronary artery	FJ2648
FMA3868	conus branch of anterior interventricular branch of left coronary artery	FJ2643
FMA3868	conus branch of anterior interventricular branch of left coronary artery	FJ2644
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	FJ2632
FMA3872	first right anterior branch of anterior interventricular branch of left coronary artery	FJ2645
FMA3874	second right anterior branch of anterior interventricular branch of left coronary artery	FJ2646
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	FJ2641
FMA3876	third right anterior branch of anterior interventricular branch of left coronary artery	FJ2647
FMA3895	circumflex branch of left coronary artery	FJ2649
FMA3895	circumflex branch of left coronary artery	FJ2650
FMA3895	circumflex branch of left coronary artery	FJ2651
FMA3895	circumflex branch of left coronary artery	FJ2652
FMA3895	circumflex branch of left coronary artery	FJ2653
FMA3895	circumflex branch of left coronary artery	FJ2654
FMA3932	brachiocephalic artery	FJ1654
FMA3932	brachiocephalic artery	FJ1655
FMA3932	brachiocephalic artery	FJ1656
FMA3932	brachiocephalic artery	FJ1656M
FMA3932	brachiocephalic artery	FJ1657
FMA3932	brachiocephalic artery	FJ1658
FMA3932	brachiocephalic artery	FJ1661
FMA3932	brachiocephalic artery	FJ1661M
FMA3932	brachiocephalic artery	FJ1662
FMA3932	brachiocephalic artery	FJ1663
FMA3932	brachiocephalic artery	FJ1672
FMA3932	brachiocephalic artery	FJ1675
FMA3932	brachiocephalic artery	FJ1675M
FMA3932	brachiocephalic artery	FJ1677
FMA3932	brachiocephalic artery	FJ1677M
FMA3932	brachiocephalic artery	FJ1678
FMA3932	brachiocephalic artery	FJ1678M
FMA3932	brachiocephalic artery	FJ1680
FMA3932	brachiocephalic artery	FJ1680M
FMA3932	brachiocephalic artery	FJ1682
FMA3932	brachiocephalic artery	FJ1684
FMA3932	brachiocephalic artery	FJ1684M
FMA3932	brachiocephalic artery	FJ1687
FMA3932	brachiocephalic artery	FJ1687M
FMA3932	brachiocephalic artery	FJ1689
FMA3932	brachiocephalic artery	FJ1689M
FMA3932	brachiocephalic artery	FJ1691
FMA3932	brachiocephalic artery	FJ1691M
FMA3932	brachiocephalic artery	FJ1692
FMA3932	brachiocephalic artery	FJ1695
FMA3932	brachiocephalic artery	FJ1700
FMA3932	brachiocephalic artery	FJ1701
FMA3932	brachiocephalic artery	FJ1702
FMA3932	brachiocephalic artery	FJ1703
FMA3932	brachiocephalic artery	FJ1704
FMA3932	brachiocephalic artery	FJ1705
FMA3932	brachiocephalic artery	FJ1706
FMA3932	brachiocephalic artery	FJ1707
FMA3932	brachiocephalic artery	FJ1708
FMA3932	brachiocephalic artery	FJ1709
FMA3932	brachiocephalic artery	FJ1710
FMA3932	brachiocephalic artery	FJ1711
FMA3932	brachiocephalic artery	FJ1713
FMA3932	brachiocephalic artery	FJ1713M
FMA3932	brachiocephalic artery	FJ1715
FMA3932	brachiocephalic artery	FJ1720
FMA3932	brachiocephalic artery	FJ1720M
FMA3932	brachiocephalic artery	FJ1723
FMA3932	brachiocephalic artery	FJ1723M
FMA3932	brachiocephalic artery	FJ1725
FMA3932	brachiocephalic artery	FJ1726
FMA3932	brachiocephalic artery	FJ1726M
FMA3932	brachiocephalic artery	FJ1727
FMA3932	brachiocephalic artery	FJ1727M
FMA3932	brachiocephalic artery	FJ1844
FMA3932	brachiocephalic artery	FJ1935
FMA3932	brachiocephalic artery	FJ1936
FMA3932	brachiocephalic artery	FJ1937
FMA3932	brachiocephalic artery	FJ1938
FMA3932	brachiocephalic artery	FJ1969
FMA3932	brachiocephalic artery	FJ2209
FMA3932	brachiocephalic artery	FJ2263
FMA3932	brachiocephalic artery	FJ2264
FMA3932	brachiocephalic artery	FJ2266
FMA3932	brachiocephalic artery	FJ2267
FMA3932	brachiocephalic artery	FJ2273
FMA3932	brachiocephalic artery	FJ2275
FMA3932	brachiocephalic artery	FJ2276
FMA3932	brachiocephalic artery	FJ2277
FMA3932	brachiocephalic artery	FJ2278
FMA3932	brachiocephalic artery	FJ2282
FMA3932	brachiocephalic artery	FJ2283
FMA3932	brachiocephalic artery	FJ2284
FMA3932	brachiocephalic artery	FJ2288
FMA3932	brachiocephalic artery	FJ2291
FMA3932	brachiocephalic artery	FJ2292
FMA3932	brachiocephalic artery	FJ2293
FMA3932	brachiocephalic artery	FJ2294
FMA3932	brachiocephalic artery	FJ2295
FMA3932	brachiocephalic artery	FJ2298
FMA3932	brachiocephalic artery	FJ2303
FMA3932	brachiocephalic artery	FJ2304
FMA3932	brachiocephalic artery	FJ2305
FMA3932	brachiocephalic artery	FJ2307
FMA3932	brachiocephalic artery	FJ2308
FMA3932	brachiocephalic artery	FJ2309
FMA3932	brachiocephalic artery	FJ2310
FMA3932	brachiocephalic artery	FJ2311
FMA3932	brachiocephalic artery	FJ2361
FMA3932	brachiocephalic artery	FJ2373
FMA3932	brachiocephalic artery	FJ3417
FMA3932	brachiocephalic artery	FJ3564
FMA3932	brachiocephalic artery	FJ3579
FMA3941	right common carotid artery	FJ1654
FMA3941	right common carotid artery	FJ1655
FMA3941	right common carotid artery	FJ1658
FMA3941	right common carotid artery	FJ1662
FMA3941	right common carotid artery	FJ1663
FMA3941	right common carotid artery	FJ1682
FMA3941	right common carotid artery	FJ1692
FMA3941	right common carotid artery	FJ1695
FMA3941	right common carotid artery	FJ1713
FMA3941	right common carotid artery	FJ1713M
FMA3941	right common carotid artery	FJ1723
FMA3941	right common carotid artery	FJ1723M
FMA3941	right common carotid artery	FJ3564
FMA3949	right internal carotid artery	FJ1654
FMA3949	right internal carotid artery	FJ1655
FMA3949	right internal carotid artery	FJ1658
FMA3949	right internal carotid artery	FJ1662
FMA3949	right internal carotid artery	FJ1663
FMA3949	right internal carotid artery	FJ1682
FMA3949	right internal carotid artery	FJ1692
FMA3949	right internal carotid artery	FJ1695
FMA3949	right internal carotid artery	FJ1713
FMA3949	right internal carotid artery	FJ1713M
FMA3949	right internal carotid artery	FJ1723
FMA3949	right internal carotid artery	FJ1723M
FMA3953	right subclavian artery	FJ1656
FMA3953	right subclavian artery	FJ1656M
FMA3953	right subclavian artery	FJ1657
FMA3953	right subclavian artery	FJ1661
FMA3953	right subclavian artery	FJ1661M
FMA3953	right subclavian artery	FJ1672
FMA3953	right subclavian artery	FJ1675
FMA3953	right subclavian artery	FJ1675M
FMA3953	right subclavian artery	FJ1677
FMA3953	right subclavian artery	FJ1677M
FMA3953	right subclavian artery	FJ1678
FMA3953	right subclavian artery	FJ1678M
FMA3953	right subclavian artery	FJ1680
FMA3953	right subclavian artery	FJ1680M
FMA3953	right subclavian artery	FJ1684
FMA3953	right subclavian artery	FJ1684M
FMA3953	right subclavian artery	FJ1687
FMA3953	right subclavian artery	FJ1687M
FMA3953	right subclavian artery	FJ1689
FMA3953	right subclavian artery	FJ1689M
FMA3953	right subclavian artery	FJ1691
FMA3953	right subclavian artery	FJ1691M
FMA3953	right subclavian artery	FJ1700
FMA3953	right subclavian artery	FJ1701
FMA3953	right subclavian artery	FJ1702
FMA3953	right subclavian artery	FJ1703
FMA3953	right subclavian artery	FJ1704
FMA3953	right subclavian artery	FJ1705
FMA3953	right subclavian artery	FJ1706
FMA3953	right subclavian artery	FJ1707
FMA3953	right subclavian artery	FJ1708
FMA3953	right subclavian artery	FJ1709
FMA3953	right subclavian artery	FJ1710
FMA3953	right subclavian artery	FJ1711
FMA3953	right subclavian artery	FJ1715
FMA3953	right subclavian artery	FJ1720
FMA3953	right subclavian artery	FJ1720M
FMA3953	right subclavian artery	FJ1725
FMA3953	right subclavian artery	FJ1726
FMA3953	right subclavian artery	FJ1726M
FMA3953	right subclavian artery	FJ1727
FMA3953	right subclavian artery	FJ1727M
FMA3953	right subclavian artery	FJ1844
FMA3953	right subclavian artery	FJ1935
FMA3953	right subclavian artery	FJ1936
FMA3953	right subclavian artery	FJ1937
FMA3953	right subclavian artery	FJ1938
FMA3953	right subclavian artery	FJ1969
FMA3953	right subclavian artery	FJ2209
FMA3953	right subclavian artery	FJ2263
FMA3953	right subclavian artery	FJ2264
FMA3953	right subclavian artery	FJ2266
FMA3953	right subclavian artery	FJ2267
FMA3953	right subclavian artery	FJ2273
FMA3953	right subclavian artery	FJ2275
FMA3953	right subclavian artery	FJ2276
FMA3953	right subclavian artery	FJ2277
FMA3953	right subclavian artery	FJ2278
FMA3953	right subclavian artery	FJ2282
FMA3953	right subclavian artery	FJ2283
FMA3953	right subclavian artery	FJ2284
FMA3953	right subclavian artery	FJ2288
FMA3953	right subclavian artery	FJ2291
FMA3953	right subclavian artery	FJ2292
FMA3953	right subclavian artery	FJ2293
FMA3953	right subclavian artery	FJ2294
FMA3953	right subclavian artery	FJ2295
FMA3953	right subclavian artery	FJ2298
FMA3953	right subclavian artery	FJ2303
FMA3953	right subclavian artery	FJ2304
FMA3953	right subclavian artery	FJ2305
FMA3953	right subclavian artery	FJ2307
FMA3953	right subclavian artery	FJ2308
FMA3953	right subclavian artery	FJ2309
FMA3953	right subclavian artery	FJ2310
FMA3953	right subclavian artery	FJ2311
FMA3953	right subclavian artery	FJ2361
FMA3953	right subclavian artery	FJ2373
FMA3953	right subclavian artery	FJ3579
FMA3958	right vertebral artery	FJ1656
FMA3958	right vertebral artery	FJ1656M
FMA3958	right vertebral artery	FJ1657
FMA3958	right vertebral artery	FJ1661
FMA3958	right vertebral artery	FJ1661M
FMA3958	right vertebral artery	FJ1672
FMA3958	right vertebral artery	FJ1675
FMA3958	right vertebral artery	FJ1675M
FMA3958	right vertebral artery	FJ1677
FMA3958	right vertebral artery	FJ1677M
FMA3958	right vertebral artery	FJ1678
FMA3958	right vertebral artery	FJ1678M
FMA3958	right vertebral artery	FJ1680
FMA3958	right vertebral artery	FJ1680M
FMA3958	right vertebral artery	FJ1684
FMA3958	right vertebral artery	FJ1684M
FMA3958	right vertebral artery	FJ1687
FMA3958	right vertebral artery	FJ1687M
FMA3958	right vertebral artery	FJ1689
FMA3958	right vertebral artery	FJ1689M
FMA3958	right vertebral artery	FJ1691
FMA3958	right vertebral artery	FJ1691M
FMA3958	right vertebral artery	FJ1700
FMA3958	right vertebral artery	FJ1701
FMA3958	right vertebral artery	FJ1702
FMA3958	right vertebral artery	FJ1703
FMA3958	right vertebral artery	FJ1704
FMA3958	right vertebral artery	FJ1705
FMA3958	right vertebral artery	FJ1706
FMA3958	right vertebral artery	FJ1707
FMA3958	right vertebral artery	FJ1708
FMA3958	right vertebral artery	FJ1709
FMA3958	right vertebral artery	FJ1710
FMA3958	right vertebral artery	FJ1711
FMA3958	right vertebral artery	FJ1715
FMA3958	right vertebral artery	FJ1720
FMA3958	right vertebral artery	FJ1720M
FMA3958	right vertebral artery	FJ1725
FMA3958	right vertebral artery	FJ1726
FMA3958	right vertebral artery	FJ1726M
FMA3958	right vertebral artery	FJ1727
FMA3958	right vertebral artery	FJ1727M
FMA3958	right vertebral artery	FJ1844
FMA3969	right internal thoracic artery	FJ1936
FMA3969	right internal thoracic artery	FJ1937
FMA3969	right internal thoracic artery	FJ1969
FMA3988	right superior epigastric artery	FJ1936
FMA3992	right thyrocervical trunk	FJ2307
FMA4057	right dorsal scapular artery	FJ2284
FMA4058	left common carotid artery	FJ1654M
FMA4058	left common carotid artery	FJ1655
FMA4058	left common carotid artery	FJ1658M
FMA4058	left common carotid artery	FJ1682M
FMA4058	left common carotid artery	FJ1695M
FMA4058	left common carotid artery	FJ1713
FMA4058	left common carotid artery	FJ1713M
FMA4058	left common carotid artery	FJ1723
FMA4058	left common carotid artery	FJ1723M
FMA4058	left common carotid artery	FJ3483
FMA4062	left internal carotid artery	FJ1654M
FMA4062	left internal carotid artery	FJ1655
FMA4062	left internal carotid artery	FJ1658M
FMA4062	left internal carotid artery	FJ1682M
FMA4062	left internal carotid artery	FJ1695M
FMA4062	left internal carotid artery	FJ1713
FMA4062	left internal carotid artery	FJ1713M
FMA4062	left internal carotid artery	FJ1723
FMA4062	left internal carotid artery	FJ1723M
FMA4066	left vertebral artery	FJ1656
FMA4066	left vertebral artery	FJ1656M
FMA4066	left vertebral artery	FJ1657
FMA4066	left vertebral artery	FJ1661
FMA4066	left vertebral artery	FJ1661M
FMA4066	left vertebral artery	FJ1672
FMA4066	left vertebral artery	FJ1675
FMA4066	left vertebral artery	FJ1675M
FMA4066	left vertebral artery	FJ1677
FMA4066	left vertebral artery	FJ1677M
FMA4066	left vertebral artery	FJ1678
FMA4066	left vertebral artery	FJ1678M
FMA4066	left vertebral artery	FJ1680
FMA4066	left vertebral artery	FJ1680M
FMA4066	left vertebral artery	FJ1684
FMA4066	left vertebral artery	FJ1684M
FMA4066	left vertebral artery	FJ1687
FMA4066	left vertebral artery	FJ1687M
FMA4066	left vertebral artery	FJ1689
FMA4066	left vertebral artery	FJ1689M
FMA4066	left vertebral artery	FJ1691
FMA4066	left vertebral artery	FJ1691M
FMA4066	left vertebral artery	FJ1700M
FMA4066	left vertebral artery	FJ1701M
FMA4066	left vertebral artery	FJ1702M
FMA4066	left vertebral artery	FJ1703M
FMA4066	left vertebral artery	FJ1704M
FMA4066	left vertebral artery	FJ1705M
FMA4066	left vertebral artery	FJ1706M
FMA4066	left vertebral artery	FJ1707M
FMA4066	left vertebral artery	FJ1708M
FMA4066	left vertebral artery	FJ1709M
FMA4066	left vertebral artery	FJ1710M
FMA4066	left vertebral artery	FJ1711M
FMA4066	left vertebral artery	FJ1715M
FMA4066	left vertebral artery	FJ1720
FMA4066	left vertebral artery	FJ1720M
FMA4066	left vertebral artery	FJ1725M
FMA4066	left vertebral artery	FJ1726
FMA4066	left vertebral artery	FJ1726M
FMA4066	left vertebral artery	FJ1727
FMA4066	left vertebral artery	FJ1727M
FMA4066	left vertebral artery	FJ1844
FMA4068	left internal thoracic artery	FJ1971
FMA4068	left internal thoracic artery	FJ1972
FMA4068	left internal thoracic artery	FJ1979
FMA4077	left musculophrenic artery	FJ1979
FMA4083	left superior epigastric artery	FJ1971
FMA4084	left thyrocervical trunk	FJ2255
FMA4086	left costocervical trunk	FJ2224
FMA4088	left superior intercostal artery	FJ1970
FMA4134	left deep cervical artery	FJ2226
FMA4149	esophageal artery	FJ1934
FMA4634	right subcostal artery	FJ1967
FMA4654	left subcostal artery	FJ1977
FMA4694	left subclavian artery	FJ1656
FMA4694	left subclavian artery	FJ1656M
FMA4694	left subclavian artery	FJ1657
FMA4694	left subclavian artery	FJ1661
FMA4694	left subclavian artery	FJ1661M
FMA4694	left subclavian artery	FJ1672
FMA4694	left subclavian artery	FJ1675
FMA4694	left subclavian artery	FJ1675M
FMA4694	left subclavian artery	FJ1677
FMA4694	left subclavian artery	FJ1677M
FMA4694	left subclavian artery	FJ1678
FMA4694	left subclavian artery	FJ1678M
FMA4694	left subclavian artery	FJ1680
FMA4694	left subclavian artery	FJ1680M
FMA4694	left subclavian artery	FJ1684
FMA4694	left subclavian artery	FJ1684M
FMA4694	left subclavian artery	FJ1687
FMA4694	left subclavian artery	FJ1687M
FMA4694	left subclavian artery	FJ1689
FMA4694	left subclavian artery	FJ1689M
FMA4694	left subclavian artery	FJ1691
FMA4694	left subclavian artery	FJ1691M
FMA4694	left subclavian artery	FJ1700M
FMA4694	left subclavian artery	FJ1701M
FMA4694	left subclavian artery	FJ1702M
FMA4694	left subclavian artery	FJ1703M
FMA4694	left subclavian artery	FJ1704M
FMA4694	left subclavian artery	FJ1705M
FMA4694	left subclavian artery	FJ1706M
FMA4694	left subclavian artery	FJ1707M
FMA4694	left subclavian artery	FJ1708M
FMA4694	left subclavian artery	FJ1709M
FMA4694	left subclavian artery	FJ1710M
FMA4694	left subclavian artery	FJ1711M
FMA4694	left subclavian artery	FJ1715M
FMA4694	left subclavian artery	FJ1720
FMA4694	left subclavian artery	FJ1720M
FMA4694	left subclavian artery	FJ1725M
FMA4694	left subclavian artery	FJ1726
FMA4694	left subclavian artery	FJ1726M
FMA4694	left subclavian artery	FJ1727
FMA4694	left subclavian artery	FJ1727M
FMA4694	left subclavian artery	FJ1844
FMA4694	left subclavian artery	FJ1970
FMA4694	left subclavian artery	FJ1971
FMA4694	left subclavian artery	FJ1972
FMA4694	left subclavian artery	FJ1976
FMA4694	left subclavian artery	FJ1979
FMA4694	left subclavian artery	FJ2210
FMA4694	left subclavian artery	FJ2211
FMA4694	left subclavian artery	FJ2212
FMA4694	left subclavian artery	FJ2214
FMA4694	left subclavian artery	FJ2215
FMA4694	left subclavian artery	FJ2221
FMA4694	left subclavian artery	FJ2223
FMA4694	left subclavian artery	FJ2224
FMA4694	left subclavian artery	FJ2225
FMA4694	left subclavian artery	FJ2226
FMA4694	left subclavian artery	FJ2230
FMA4694	left subclavian artery	FJ2231
FMA4694	left subclavian artery	FJ2232
FMA4694	left subclavian artery	FJ2236
FMA4694	left subclavian artery	FJ2239
FMA4694	left subclavian artery	FJ2240
FMA4694	left subclavian artery	FJ2241
FMA4694	left subclavian artery	FJ2242
FMA4694	left subclavian artery	FJ2243
FMA4694	left subclavian artery	FJ2246
FMA4694	left subclavian artery	FJ2251
FMA4694	left subclavian artery	FJ2252
FMA4694	left subclavian artery	FJ2253
FMA4694	left subclavian artery	FJ2255
FMA4694	left subclavian artery	FJ2256
FMA4694	left subclavian artery	FJ2257
FMA4694	left subclavian artery	FJ2258
FMA4694	left subclavian artery	FJ2259
FMA4694	left subclavian artery	FJ2330
FMA4694	left subclavian artery	FJ2374
FMA4694	left subclavian artery	FJ3479
FMA4706	coronary sinus	FJ2655
FMA4707	great cardiac vein	FJ2656
FMA4708	left marginal vein	FJ2703
FMA4708	left marginal vein	FJ2704
FMA4708	left marginal vein	FJ2705
FMA4712	posterior vein of left ventricle	FJ2701
FMA4712	posterior vein of left ventricle	FJ2702
FMA4712	posterior vein of left ventricle	FJ2706
FMA4712	posterior vein of left ventricle	FJ2707
FMA4712	posterior vein of left ventricle	FJ2708
FMA4712	posterior vein of left ventricle	FJ2709
FMA4712	posterior vein of left ventricle	FJ2710
FMA4712	posterior vein of left ventricle	FJ2711
FMA4712	posterior vein of left ventricle	FJ2712
FMA4712	posterior vein of left ventricle	FJ2713
FMA4713	middle cardiac vein	FJ2678
FMA4713	middle cardiac vein	FJ2679
FMA4713	middle cardiac vein	FJ2680
FMA4713	middle cardiac vein	FJ2681
FMA4713	middle cardiac vein	FJ2682
FMA4713	middle cardiac vein	FJ2683
FMA4713	middle cardiac vein	FJ2684
FMA4713	middle cardiac vein	FJ2685
FMA4713	middle cardiac vein	FJ2686
FMA4713	middle cardiac vein	FJ2687
FMA4713	middle cardiac vein	FJ2688
FMA4713	middle cardiac vein	FJ2689
FMA4713	middle cardiac vein	FJ2690
FMA4713	middle cardiac vein	FJ2691
FMA4714	small cardiac vein	FJ2724
FMA4714	small cardiac vein	FJ2731
FMA4716	right marginal vein	FJ2727
FMA4716	right marginal vein	FJ2728
FMA4716	right marginal vein	FJ2729
FMA4717	anterior cardiac venous tree	FJ2727
FMA4717	anterior cardiac venous tree	FJ2728
FMA4717	anterior cardiac venous tree	FJ2729
FMA4720	superior vena cava	FJ3645
FMA4751	right brachiocephalic vein	FJ1993
FMA4751	right brachiocephalic vein	FJ3583
FMA4751	right brachiocephalic vein	FJ3585
FMA4751	right brachiocephalic vein	FJ3587
FMA4754	right internal jugular vein	FJ3585
FMA4755	right subclavian vein	FJ3587
FMA4758	right internal thoracic vein	FJ1993
FMA4761	left brachiocephalic vein	FJ3482
FMA4797	left superior intercostal vein	FJ1986
FMA4838	azygos vein	FJ3416
FMA4944	hemiazygos vein	FJ3434
FMA5039	right costocervical trunk	FJ2276
FMA5042	right superior intercostal artery	FJ1935
FMA7088	heart	FJ2417
FMA7088	heart	FJ2418
FMA7088	heart	FJ2419
FMA7088	heart	FJ2420
FMA7088	heart	FJ2421
FMA7088	heart	FJ2422
FMA7088	heart	FJ2423
FMA7088	heart	FJ2424
FMA7088	heart	FJ2425
FMA7088	heart	FJ2426
FMA7088	heart	FJ2427
FMA7088	heart	FJ2429
FMA7088	heart	FJ2430
FMA7088	heart	FJ2431
FMA7088	heart	FJ2432
FMA7088	heart	FJ2433
FMA7088	heart	FJ2434
FMA7088	heart	FJ2435
FMA7088	heart	FJ2436
FMA7088	heart	FJ2437
FMA7088	heart	FJ2438
FMA7088	heart	FJ2439
FMA7088	heart	FJ2631
FMA7088	heart	FJ2632
FMA7088	heart	FJ2633
FMA7088	heart	FJ2634
FMA7088	heart	FJ2635
FMA7088	heart	FJ2636
FMA7088	heart	FJ2637
FMA7088	heart	FJ2638
FMA7088	heart	FJ2639
FMA7088	heart	FJ2640
FMA7088	heart	FJ2641
FMA7088	heart	FJ2642
FMA7088	heart	FJ2643
FMA7088	heart	FJ2644
FMA7088	heart	FJ2645
FMA7088	heart	FJ2646
FMA7088	heart	FJ2647
FMA7088	heart	FJ2648
FMA7088	heart	FJ2649
FMA7088	heart	FJ2650
FMA7088	heart	FJ2651
FMA7088	heart	FJ2652
FMA7088	heart	FJ2653
FMA7088	heart	FJ2654
FMA7088	heart	FJ2655
FMA7088	heart	FJ2656
FMA7088	heart	FJ2667
FMA7088	heart	FJ2668
FMA7088	heart	FJ2670
FMA7088	heart	FJ2671
FMA7088	heart	FJ2672
FMA7088	heart	FJ2673
FMA7088	heart	FJ2674
FMA7088	heart	FJ2675
FMA7088	heart	FJ2676
FMA7088	heart	FJ2677
FMA7088	heart	FJ2692
FMA7088	heart	FJ2693
FMA7088	heart	FJ2694
FMA7088	heart	FJ2695
FMA7088	heart	FJ2696
FMA7088	heart	FJ2697
FMA7088	heart	FJ2698
FMA7088	heart	FJ2699
FMA7088	heart	FJ2700
FMA7088	heart	FJ2714
FMA7088	heart	FJ2715
FMA7088	heart	FJ2716
FMA7088	heart	FJ2717
FMA7088	heart	FJ2718
FMA7088	heart	FJ2719
FMA7088	heart	FJ2720
FMA7088	heart	FJ2721
FMA7088	heart	FJ2722
FMA7088	heart	FJ2723
FMA7088	heart	FJ2724
FMA7088	heart	FJ2727
FMA7088	heart	FJ2728
FMA7088	heart	FJ2729
FMA7088	heart	FJ2731
FMA7088	heart	FJ2737
FMA7096	right atrium	FJ2421
FMA7096	right atrium	FJ2424
FMA7096	right atrium	FJ2433
FMA7096	right atrium	FJ2436
FMA7096	right atrium	FJ2439
FMA7097	left atrium	FJ2420
FMA7097	left atrium	FJ2425
FMA7097	left atrium	FJ2426
FMA7097	left atrium	FJ2431
FMA7097	left atrium	FJ2432
FMA7097	left atrium	FJ2438
FMA7098	right ventricle	FJ2417
FMA7098	right ventricle	FJ2419
FMA7098	right ventricle	FJ2421
FMA7098	right ventricle	FJ2423
FMA7098	right ventricle	FJ2427
FMA7098	right ventricle	FJ2430
FMA7098	right ventricle	FJ2433
FMA7098	right ventricle	FJ2434
FMA7098	right ventricle	FJ2436
FMA7098	right ventricle	FJ2437
FMA7101	left ventricle	FJ2418
FMA7101	left ventricle	FJ2420
FMA7101	left ventricle	FJ2422
FMA7101	left ventricle	FJ2426
FMA7101	left ventricle	FJ2429
FMA7101	left ventricle	FJ2431
FMA7101	left ventricle	FJ2432
FMA7101	left ventricle	FJ2435
FMA7131	esophagus	FJ2563
FMA7148	stomach	FJ2564
FMA7152	alimentary system	FJ1252
FMA7152	alimentary system	FJ1253
FMA7152	alimentary system	FJ1883
FMA7152	alimentary system	FJ1893
FMA7152	alimentary system	FJ1895
FMA7152	alimentary system	FJ1896
FMA7152	alimentary system	FJ1913
FMA7152	alimentary system	FJ1914
FMA7152	alimentary system	FJ1916
FMA7152	alimentary system	FJ2386
FMA7152	alimentary system	FJ2404
FMA7152	alimentary system	FJ2405
FMA7152	alimentary system	FJ2409
FMA7152	alimentary system	FJ2415
FMA7152	alimentary system	FJ2416
FMA7152	alimentary system	FJ2563
FMA7152	alimentary system	FJ2564
FMA7152	alimentary system	FJ2565
FMA7152	alimentary system	FJ2566
FMA7152	alimentary system	FJ2567
FMA7152	alimentary system	FJ2568
FMA7152	alimentary system	FJ2569
FMA7152	alimentary system	FJ2570
FMA7152	alimentary system	FJ2571
FMA7152	alimentary system	FJ2572
FMA7152	alimentary system	FJ2573
